doi,reason
10.1152/jn.1991.66.6.1874,no-oa-url
10.1152/jn.1993.69.6.2232,no-oa-url
10.1152/jn.1993.70.3.1009,no-oa-url
10.1152/jn.1993.70.3.1102,no-oa-url
10.1152/jn.1994.71.6.2074,no-oa-url
10.1152/jn.1996.75.3.1126,no-oa-url
10.1152/jn.1997.77.2.797,no-oa-url
10.1152/jn.1997.77.6.3226,no-oa-url
10.1152/jn.1997.77.6.3237,no-oa-url
10.1152/jn.1997.77.6.3311,no-oa-url
10.1152/jn.1998.79.4.1687,no-oa-url
10.1152/jn.1998.79.4.1702,no-oa-url
10.1152/jn.1999.81.2.758,no-oa-url
10.1152/jn.1999.81.4.1856,no-oa-url
10.1152/jn.1999.82.1.290,no-oa-url
10.1152/jn.2001.86.1.447,no-oa-url
10.1152/jn.2001.86.3.1321,no-oa-url
10.1152/jn.90338.2008,no-oa-url
10.1152/jn.90729.2008,no-oa-url
10.1152/jn.90895.2008,no-oa-url
10.1152/jn.90918.2008,no-oa-url
10.1152/physrev.00015.2019,no-oa-url
10.1152/physrev.00028.2005,no-oa-url
10.1152/physrev.1992.72.3.623,no-oa-url
10.1152/physrev.2000.80.1.83,no-oa-url
10.1152/physrev.2001.81.2.539,no-oa-url
10.1162/neco.1992.4.3.356,no-oa-url
10.1177/0278364903022003003,no-oa-url
10.1177/0278364905055381,no-oa-url
10.1177/0278364917743320,no-oa-url
10.1177/105971239300100404,no-oa-url
10.1177/1073858404264680,no-oa-url
10.1177/1073858410396101,no-oa-url
10.1177/1073858417699790,no-oa-url
10.1201/9781420038705.ch6,no-oa-url
10.1242/jeb.056481,oa-url-blocked
10.1242/jeb.198.2.435,no-oa-url
10.1242/jeb.245784,oa-url-blocked
10.1249/jes.0000000000000233,no-oa-url
10.1371/journal.pcbi.1012101,no-oa-url
10.14288/1.0071394,oa-url-blocked
10.14814/phy2.13504,oa-url-blocked
10.1515/revneuro-2017-0102,no-oa-url
10.1523/jneurosci.0612-22.2022,oa-url-blocked
10.1523/jneurosci.0816-20.2020,oa-url-blocked
10.1523/jneurosci.1206-09.2009,oa-url-blocked
10.1523/jneurosci.15-07-04943.1995,oa-url-blocked
10.1523/jneurosci.16-18-05777.1996,oa-url-blocked
10.1523/jneurosci.1618-07.2007,oa-url-blocked
10.1523/jneurosci.1654-20.2020,oa-url-blocked
10.1523/jneurosci.1737-09.2009,oa-url-blocked
10.1523/jneurosci.19-24-10966.1999,oa-url-blocked
10.1523/jneurosci.20-22-08577.2000,oa-url-blocked
10.1523/jneurosci.2005-13.2013,oa-url-blocked
10.1523/jneurosci.2015-22.2023,no-oa-url
10.1523/jneurosci.22-22-09961.2002,oa-url-blocked
10.1523/jneurosci.3042-16.2017,oa-url-blocked
10.1523/jneurosci.3288-17.2018,oa-url-blocked
10.1523/jneurosci.3338-09.2009,oa-url-blocked
10.1523/jneurosci.4849-09.2010,oa-url-blocked
10.1523/jneurosci.5188-14.2015,oa-url-blocked
10.1523/jneurosci.5486-10.2011,oa-url-blocked
10.1523/jneurosci.5894-08.2010,oa-url-blocked
