TimeSlice	Time	L Hip MN ext	L Hip MN flx	L Hip PF flx	L Hip PF ext	L RG ext	L RG flx
2693	0.5386	-0.057349	-0.0846953	-0.0599787	-0.0580167	-0.0591584	-0.058692
2694	0.5388	-0.0573618	-0.0846758	-0.0599764	-0.0580181	-0.0591668	-0.0586826
2695	0.539	-0.0573747	-0.0846547	-0.059974	-0.0580196	-0.0591752	-0.0586731
2696	0.5392	-0.0573877	-0.0846321	-0.0599716	-0.0580211	-0.0591836	-0.0586636
2697	0.5394	-0.057401	-0.0846082	-0.0599692	-0.0580226	-0.059192	-0.0586541
2698	0.5396	-0.0574145	-0.084583	-0.0599668	-0.0580242	-0.0592005	-0.0586445
2699	0.5398	-0.0574282	-0.0845566	-0.0599644	-0.0580259	-0.059209	-0.0586348
2700	0.54	-0.0574421	-0.0845292	-0.059962	-0.0580276	-0.0592175	-0.058625
2701	0.5402	-0.0574563	-0.0845007	-0.0599596	-0.0580293	-0.0592261	-0.0586152
2702	0.5404	-0.0574709	-0.0844713	-0.0599571	-0.0580311	-0.0592346	-0.0586053
2703	0.5406	-0.0574857	-0.0844411	-0.0599547	-0.0580329	-0.0592432	-0.0585954
2704	0.5408	-0.0575009	-0.08441	-0.0599522	-0.0580348	-0.0592519	-0.0585854
2705	0.541	-0.0575164	-0.0843781	-0.0599497	-0.0580368	-0.0592605	-0.0585753
2706	0.5412	-0.0575324	-0.0843455	-0.0599472	-0.0580388	-0.0592692	-0.0585652
2707	0.5414	-0.0575487	-0.0843122	-0.0599447	-0.0580409	-0.0592779	-0.058555
2708	0.5416	-0.0575655	-0.0842783	-0.0599422	-0.0580431	-0.0592866	-0.0585447
2709	0.5418	-0.0575827	-0.0842437	-0.0599397	-0.0580453	-0.0592954	-0.0585344
2710	0.542	-0.0576003	-0.0842085	-0.0599372	-0.0580475	-0.0593042	-0.058524
2711	0.5422	-0.0576185	-0.0841727	-0.0599346	-0.0580499	-0.059313	-0.0585135
2712	0.5424	-0.0576371	-0.0841364	-0.059932	-0.0580523	-0.0593218	-0.058503
2713	0.5426	-0.0576562	-0.0840996	-0.0599294	-0.0580547	-0.0593307	-0.0584923
2714	0.5428	-0.0576759	-0.0840622	-0.0599268	-0.0580572	-0.0593395	-0.0584817
2715	0.543	-0.0576961	-0.0840243	-0.0599242	-0.0580598	-0.0593485	-0.0584709
2716	0.5432	-0.0577168	-0.0839859	-0.0599215	-0.0580625	-0.0593574	-0.0584601
2717	0.5434	-0.0577381	-0.0839469	-0.0599188	-0.0580652	-0.0593664	-0.0584492
2718	0.5436	-0.05776	-0.0839075	-0.0599161	-0.058068	-0.0593754	-0.0584382
2719	0.5438	-0.0577824	-0.0838676	-0.0599134	-0.0580708	-0.0593844	-0.0584272
2720	0.544	-0.0578055	-0.0838272	-0.0599106	-0.0580737	-0.0593934	-0.0584161
2721	0.5442	-0.0578291	-0.0837863	-0.0599079	-0.0580767	-0.0594025	-0.0584049
2722	0.5444	-0.0578534	-0.0837448	-0.0599051	-0.0580797	-0.0594116	-0.0583937
2723	0.5446	-0.0578782	-0.0837029	-0.0599022	-0.0580829	-0.0594207	-0.0583823
2724	0.5448	-0.0579038	-0.0836605	-0.0598994	-0.058086	-0.0594299	-0.0583709
2725	0.545	-0.0579299	-0.0836175	-0.0598965	-0.0580893	-0.059439	-0.0583594
2726	0.5452	-0.0579567	-0.083574	-0.0598935	-0.0580926	-0.0594482	-0.0583479
2727	0.5454	-0.0579841	-0.08353	-0.0598906	-0.058096	-0.0594575	-0.0583362
2728	0.5456	-0.0580122	-0.0834855	-0.0598876	-0.0580994	-0.0594667	-0.0583245
2729	0.5458	-0.058041	-0.0834403	-0.0598846	-0.0581029	-0.059476	-0.0583127
2730	0.546	-0.0580704	-0.0833946	-0.0598815	-0.0581065	-0.0594853	-0.0583008
2731	0.5462	-0.0581005	-0.0833484	-0.0598784	-0.0581102	-0.0594946	-0.0582889
2732	0.5464	-0.0581313	-0.0833015	-0.0598753	-0.0581139	-0.059504	-0.0582769
2733	0.5466	-0.0581628	-0.083254	-0.0598721	-0.0581176	-0.0595134	-0.0582647
2734	0.5468	-0.0581949	-0.0832059	-0.0598689	-0.0581215	-0.0595228	-0.0582525
2735	0.547	-0.0582278	-0.0831572	-0.0598656	-0.0581254	-0.0595322	-0.0582403
2736	0.5472	-0.0582613	-0.0831078	-0.0598623	-0.0581294	-0.0595417	-0.0582279
2737	0.5474	-0.0582956	-0.0830577	-0.059859	-0.0581334	-0.0595512	-0.0582154
2738	0.5476	-0.0583306	-0.083007	-0.0598556	-0.0581375	-0.0595607	-0.0582029
2739	0.5478	-0.0583662	-0.0829556	-0.0598522	-0.0581417	-0.0595702	-0.0581903
2740	0.548	-0.0584026	-0.0829035	-0.0598487	-0.0581459	-0.0595798	-0.0581776
2741	0.5482	-0.0584398	-0.0828506	-0.0598452	-0.0581502	-0.0595894	-0.0581648
2742	0.5484	-0.0584776	-0.082797	-0.0598416	-0.0581546	-0.059599	-0.0581519
2743	0.5486	-0.0585162	-0.0827427	-0.059838	-0.0581591	-0.0596087	-0.0581389
2744	0.5488	-0.0585555	-0.0826876	-0.0598343	-0.0581636	-0.0596183	-0.0581259
2745	0.549	-0.0585955	-0.0826317	-0.0598306	-0.0581682	-0.059628	-0.0581127
2746	0.5492	-0.0586363	-0.082575	-0.0598268	-0.0581728	-0.0596378	-0.0580995
2747	0.5494	-0.0586779	-0.0825175	-0.059823	-0.0581775	-0.0596475	-0.0580862
2748	0.5496	-0.0587201	-0.0824591	-0.0598191	-0.0581823	-0.0596573	-0.0580727
2749	0.5498	-0.0587632	-0.0823999	-0.0598152	-0.0581871	-0.0596671	-0.0580592
2750	0.55	-0.058807	-0.0823399	-0.0598112	-0.058192	-0.0596769	-0.0580456
2751	0.5502	-0.0588516	-0.082279	-0.0598072	-0.058197	-0.0596868	-0.0580319
2752	0.5504	-0.0588969	-0.0822172	-0.0598031	-0.0582021	-0.0596967	-0.0580181
