TimeSlice	Time	R Hip ext Ia	R Hip flx Ia	R Hip ext Ia IN	R Hip flx Ia IN	R Hip flx Ib	R Hip ext Ib	R Hip MN flx	R Hip MN ext	R Hip MN ext RE	R Hip MN flx RE
134	0.0268	-0.0576316	-0.057748	-0.0571185	-0.0571185	-0.0574184	-0.0592743	-0.0830832	-0.0958873	-0.0570333	-0.0555403
135	0.027	-0.0576256	-0.0577411	-0.0571132	-0.0571132	-0.0574678	-0.05929	-0.0831039	-0.0958537	-0.0570188	-0.0555214
136	0.0272	-0.0576195	-0.0577343	-0.0571082	-0.0571082	-0.0575153	-0.0593051	-0.0831252	-0.0958176	-0.057004	-0.0555026
137	0.0274	-0.0576136	-0.0577276	-0.0571034	-0.0571034	-0.057561	-0.0593196	-0.0831468	-0.0957792	-0.0569889	-0.0554837
138	0.0276	-0.0576077	-0.057721	-0.0570987	-0.0570987	-0.0576048	-0.0593335	-0.0831686	-0.095739	-0.0569734	-0.0554649
139	0.0278	-0.0576019	-0.0577146	-0.0570943	-0.0570943	-0.057647	-0.0593469	-0.0831904	-0.0956972	-0.0569577	-0.0554462
140	0.028	-0.0575962	-0.0577083	-0.0570893	-0.0570893	-0.0576936	-0.0593624	-0.0832122	-0.0956542	-0.0569417	-0.0554275
141	0.0282	-0.0575906	-0.0577021	-0.0570846	-0.0570846	-0.0577385	-0.0593773	-0.0832346	-0.0956104	-0.0569254	-0.0554088
142	0.0284	-0.0575852	-0.057696	-0.05708	-0.05708	-0.0577815	-0.0593916	-0.0832575	-0.0955662	-0.0569089	-0.0553902
143	0.0286	-0.0575798	-0.0576901	-0.0570756	-0.0570756	-0.0578229	-0.0594054	-0.0832807	-0.0955216	-0.0568921	-0.0553717
144	0.0288	-0.0575747	-0.0576843	-0.0570714	-0.0570714	-0.0578627	-0.0594186	-0.0833042	-0.0954769	-0.0568751	-0.0553533
145	0.029	-0.0575696	-0.0576786	-0.0570667	-0.0570667	-0.0579065	-0.0594338	-0.0833277	-0.0954323	-0.0568578	-0.0553349
146	0.0292	-0.0575647	-0.057673	-0.0570622	-0.0570622	-0.0579486	-0.0594485	-0.0833519	-0.0953881	-0.0568402	-0.0553165
147	0.0294	-0.05756	-0.0576676	-0.0570579	-0.0570579	-0.0579891	-0.0594626	-0.0833767	-0.0953446	-0.0568225	-0.0552983
148	0.0296	-0.0575554	-0.0576623	-0.0570538	-0.0570538	-0.058028	-0.0594761	-0.0834019	-0.0953017	-0.0568046	-0.0552801
149	0.0298	-0.057551	-0.0576571	-0.0570498	-0.0570498	-0.0580653	-0.0594891	-0.0834273	-0.0952597	-0.0567864	-0.055262
150	0.03	-0.0575468	-0.057652	-0.0570454	-0.0570454	-0.0581063	-0.059504	-0.0834529	-0.0952185	-0.0567681	-0.055244
151	0.0302	-0.0575427	-0.0576471	-0.0570411	-0.0570411	-0.0581457	-0.0595184	-0.0834791	-0.0951786	-0.0567496	-0.0552261
152	0.0304	-0.0575388	-0.0576423	-0.057037	-0.057037	-0.0581836	-0.0595321	-0.0835059	-0.0951399	-0.056731	-0.0552082
153	0.0306	-0.0575351	-0.0576376	-0.0570331	-0.0570331	-0.0582199	-0.0595454	-0.083533	-0.0951025	-0.0567122	-0.0551905
154	0.0308	-0.0575316	-0.057633	-0.0570294	-0.0570294	-0.0582548	-0.0595581	-0.0835603	-0.0950664	-0.0566933	-0.0551728
155	0.031	-0.0575283	-0.0576285	-0.0570252	-0.0570252	-0.0582931	-0.0595727	-0.0835877	-0.0950316	-0.0566742	-0.0551553
156	0.0312	-0.0575251	-0.0576242	-0.0570212	-0.0570212	-0.0583298	-0.0595867	-0.0836157	-0.0949985	-0.056655	-0.0551378
157	0.0314	-0.0575221	-0.0576199	-0.0570174	-0.0570174	-0.0583651	-0.0596001	-0.0836441	-0.0949669	-0.0566357	-0.0551204
158	0.0316	-0.0575193	-0.0576158	-0.0570137	-0.0570137	-0.058399	-0.059613	-0.0836727	-0.0949368	-0.0566163	-0.0551031
159	0.0318	-0.0575166	-0.0576118	-0.0570101	-0.0570101	-0.0584316	-0.0596254	-0.0837015	-0.0949083	-0.0565968	-0.0550859
160	0.032	-0.0575142	-0.0576079	-0.0570062	-0.0570062	-0.0584671	-0.0596396	-0.0837301	-0.0948814	-0.0565773	-0.0550688
161	0.0322	-0.0575119	-0.057604	-0.0570025	-0.0570025	-0.0585013	-0.0596532	-0.0837592	-0.0948561	-0.0565577	-0.0550517
162	0.0324	-0.0575097	-0.0576003	-0.0569989	-0.0569989	-0.0585341	-0.0596663	-0.0837886	-0.0948325	-0.056538	-0.0550348
163	0.0326	-0.0575078	-0.0575966	-0.0569954	-0.0569954	-0.0585656	-0.0596789	-0.083818	-0.0948105	-0.0565182	-0.0550179
164	0.0328	-0.057506	-0.0575931	-0.056992	-0.056992	-0.0585959	-0.059691	-0.0838473	-0.0947901	-0.0564985	-0.0550012
165	0.033	-0.0575044	-0.0575897	-0.0569884	-0.0569884	-0.0586289	-0.0597031	-0.0838764	-0.0947712	-0.0564786	-0.0549845
166	0.0332	-0.0575029	-0.0575863	-0.0569848	-0.0569848	-0.0586606	-0.0597147	-0.0839057	-0.0947539	-0.0564588	-0.0549679
167	0.0334	-0.0575016	-0.057583	-0.0569814	-0.0569814	-0.058691	-0.0597259	-0.0839351	-0.0947379	-0.0564389	-0.0549514
168	0.0336	-0.0575004	-0.0575798	-0.0569782	-0.0569782	-0.0587203	-0.0597367	-0.0839644	-0.0947234	-0.056419	-0.054935
169	0.0338	-0.0574994	-0.0575766	-0.0569751	-0.0569751	-0.0587484	-0.059747	-0.0839934	-0.0947103	-0.0563991	-0.0549187
170	0.034	-0.0574986	-0.0575736	-0.0569716	-0.0569716	-0.0587789	-0.0597569	-0.084022	-0.0946984	-0.0563792	-0.0549024
171	0.0342	-0.0574979	-0.0575706	-0.0569683	-0.0569683	-0.0588083	-0.0597665	-0.0840506	-0.0946877	-0.0563594	-0.0548862
172	0.0344	-0.0574973	-0.0575676	-0.0569651	-0.0569651	-0.0588365	-0.0597756	-0.084079	-0.0946782	-0.0563395	-0.0548701
173	0.0346	-0.0574969	-0.0575648	-0.0569621	-0.0569621	-0.0588636	-0.0597844	-0.0841072	-0.0946699	-0.0563196	-0.054854
174	0.0348	-0.0574966	-0.057562	-0.0569591	-0.0569591	-0.0588896	-0.0597929	-0.0841348	-0.0946626	-0.0562997	-0.0548381
175	0.035	-0.0574965	-0.0575592	-0.0569559	-0.0569559	-0.0589179	-0.059801	-0.084162	-0.0946563	-0.0562799	-0.0548222
176	0.0352	-0.0574964	-0.0575565	-0.0569528	-0.0569528	-0.058945	-0.0598088	-0.0841889	-0.094651	-0.05626	-0.0548063
