TimeSlice	Time	L Knee ext Ia	L Knee flx Ia	L Knee ext Ia IN	L Knee flx Ia IN	L Knee flx Ib	L Knee ext Ib	L Knee MN ext	L Knee MN flx	L Knee MN ext RE	L Knee MN flx RE
101	0.0202	-0.0605259	-0.0605812	-0.0599988	-0.059998	-0.0599238	-0.0591084	-0.0924487	-0.0957505	-0.0569281	-0.0571982
102	0.0204	-0.0605248	-0.0605842	-0.0599988	-0.059998	-0.0599267	-0.0591145	-0.0924135	-0.0958335	-0.0569181	-0.057193
103	0.0206	-0.0605235	-0.0605871	-0.0599987	-0.059998	-0.0599296	-0.0591204	-0.0923726	-0.0959133	-0.0569074	-0.0571874
104	0.0208	-0.060522	-0.0605899	-0.0599987	-0.059998	-0.0599324	-0.0591261	-0.0923261	-0.0959902	-0.0568959	-0.0571814
105	0.021	-0.0605202	-0.0605926	-0.0599987	-0.059998	-0.059935	-0.059133	-0.0922743	-0.0960641	-0.0568838	-0.057175
106	0.0212	-0.0605183	-0.0605953	-0.0599987	-0.0599979	-0.0599376	-0.0591396	-0.0922176	-0.0961351	-0.0568711	-0.0571683
107	0.0214	-0.0605161	-0.0605979	-0.0599987	-0.0599979	-0.05994	-0.059146	-0.0921562	-0.0962035	-0.0568576	-0.0571612
108	0.0216	-0.0605138	-0.0606005	-0.0599987	-0.0599979	-0.0599424	-0.0591521	-0.0920903	-0.0962692	-0.0568436	-0.0571538
109	0.0218	-0.0605114	-0.0606031	-0.0599987	-0.0599979	-0.0599446	-0.059158	-0.09202	-0.0963324	-0.0568289	-0.057146
110	0.022	-0.0605088	-0.0606056	-0.0599987	-0.0599979	-0.0599468	-0.059165	-0.0919456	-0.096393	-0.0568136	-0.057138
111	0.0222	-0.0605061	-0.0606081	-0.0599987	-0.0599979	-0.0599489	-0.0591717	-0.0918674	-0.0964513	-0.0567977	-0.0571296
112	0.0224	-0.0605032	-0.0606106	-0.0599987	-0.0599979	-0.0599509	-0.0591781	-0.0917855	-0.0965073	-0.0567812	-0.057121
113	0.0226	-0.0605003	-0.060613	-0.0599987	-0.0599979	-0.0599528	-0.0591843	-0.0917002	-0.096561	-0.0567642	-0.0571121
114	0.0228	-0.0604973	-0.0606154	-0.0599987	-0.0599979	-0.0599547	-0.0591902	-0.0916115	-0.0966126	-0.0567466	-0.0571029
115	0.023	-0.0604942	-0.0606178	-0.0599987	-0.0599979	-0.0599565	-0.0591971	-0.0915197	-0.0966621	-0.0567284	-0.0570934
116	0.0232	-0.060491	-0.0606202	-0.0599987	-0.0599979	-0.0599582	-0.0592037	-0.091425	-0.0967095	-0.0567098	-0.0570838
117	0.0234	-0.0604878	-0.0606226	-0.0599987	-0.0599979	-0.0599598	-0.05921	-0.0913276	-0.096755	-0.0566906	-0.0570739
118	0.0236	-0.0604845	-0.0606249	-0.0599987	-0.0599979	-0.0599614	-0.0592161	-0.0912276	-0.0967986	-0.0566709	-0.0570637
119	0.0238	-0.0604811	-0.0606273	-0.0599987	-0.0599979	-0.0599629	-0.059222	-0.0911252	-0.0968404	-0.0566508	-0.0570534
