TimeSlice	Time	L RG ext IN	L RG flx IN	L RG ext	L RG flx
240	0.048	-0.059067	-0.0595938	-0.0594192	-0.0596351
241	0.0482	-0.0590695	-0.0595877	-0.059422	-0.0596318
242	0.0484	-0.059072	-0.0595817	-0.0594249	-0.0596284
243	0.0486	-0.0590746	-0.0595757	-0.0594277	-0.0596251
244	0.0488	-0.0590773	-0.0595697	-0.0594306	-0.0596218
245	0.049	-0.05908	-0.0595638	-0.0594334	-0.0596184
246	0.0492	-0.0590828	-0.0595579	-0.0594363	-0.059615
247	0.0494	-0.0590856	-0.059552	-0.0594391	-0.0596116
248	0.0496	-0.0590885	-0.0595462	-0.059442	-0.0596082
249	0.0498	-0.0590914	-0.0595404	-0.0594448	-0.0596048
250	0.05	-0.0590944	-0.0595347	-0.0594476	-0.0596014
251	0.0502	-0.0590974	-0.059529	-0.0594504	-0.0595979
252	0.0504	-0.0591005	-0.0595232	-0.0594533	-0.0595944
253	0.0506	-0.0591036	-0.0595176	-0.0594561	-0.0595909
254	0.0508	-0.0591068	-0.0595119	-0.0594589	-0.0595874
255	0.051	-0.0591099	-0.0595062	-0.0594616	-0.0595838
256	0.0512	-0.0591132	-0.0595006	-0.0594644	-0.0595802
257	0.0514	-0.0591164	-0.059495	-0.0594672	-0.0595766
258	0.0516	-0.0591197	-0.0594894	-0.0594699	-0.059573
259	0.0518	-0.059123	-0.0594838	-0.0594727	-0.0595694
260	0.052	-0.0591263	-0.0594782	-0.0594754	-0.0595657
261	0.0522	-0.0591297	-0.0594726	-0.0594781	-0.059562
262	0.0524	-0.059133	-0.059467	-0.0594809	-0.0595583
263	0.0526	-0.0591364	-0.0594614	-0.0594836	-0.0595545
264	0.0528	-0.0591399	-0.0594558	-0.0594863	-0.0595508
265	0.053	-0.0591433	-0.0594503	-0.0594889	-0.059547
266	0.0532	-0.0591468	-0.0594447	-0.0594916	-0.0595432
267	0.0534	-0.0591502	-0.0594391	-0.0594943	-0.0595393
268	0.0536	-0.0591537	-0.0594335	-0.0594969	-0.0595355
269	0.0538	-0.0591572	-0.0594279	-0.0594996	-0.0595316
270	0.054	-0.0591608	-0.0594223	-0.0595022	-0.0595277
271	0.0542	-0.0591643	-0.0594167	-0.0595049	-0.0595238
272	0.0544	-0.0591678	-0.0594111	-0.0595075	-0.0595198
273	0.0546	-0.0591714	-0.0594055	-0.0595101	-0.0595159
274	0.0548	-0.059175	-0.0593999	-0.0595127	-0.0595119
275	0.055	-0.0591785	-0.0593943	-0.0595153	-0.0595079
276	0.0552	-0.0591821	-0.0593886	-0.059518	-0.0595038
277	0.0554	-0.0591857	-0.059383	-0.0595206	-0.0594998
278	0.0556	-0.0591893	-0.0593773	-0.0595231	-0.0594957
279	0.0558	-0.0591929	-0.0593717	-0.0595257	-0.0594916
280	0.056	-0.0591965	-0.059366	-0.0595283	-0.0594875
281	0.0562	-0.0592001	-0.0593603	-0.0595309	-0.0594834
282	0.0564	-0.0592038	-0.0593546	-0.0595335	-0.0594793
283	0.0566	-0.0592074	-0.0593488	-0.0595361	-0.0594751
284	0.0568	-0.059211	-0.0593431	-0.0595386	-0.059471
285	0.057	-0.0592147	-0.0593373	-0.0595412	-0.0594668
286	0.0572	-0.0592183	-0.0593316	-0.0595438	-0.0594626
287	0.0574	-0.0592219	-0.0593258	-0.0595464	-0.0594584
288	0.0576	-0.0592256	-0.05932	-0.0595489	-0.0594541
289	0.0578	-0.0592292	-0.0593142	-0.0595515	-0.0594499
290	0.058	-0.0592329	-0.0593084	-0.0595541	-0.0594456
291	0.0582	-0.0592366	-0.0593025	-0.0595567	-0.0594413
292	0.0584	-0.0592402	-0.0592967	-0.0595592	-0.0594371
293	0.0586	-0.0592439	-0.0592908	-0.0595618	-0.0594328
294	0.0588	-0.0592476	-0.0592849	-0.0595644	-0.0594284
295	0.059	-0.0592513	-0.059279	-0.059567	-0.0594241
296	0.0592	-0.059255	-0.0592731	-0.0595696	-0.0594198
297	0.0594	-0.0592586	-0.0592672	-0.0595722	-0.0594154
298	0.0596	-0.0592623	-0.0592612	-0.0595748	-0.0594111
299	0.0598	-0.059266	-0.0592552	-0.0595774	-0.0594067
300	0.06	-0.0592697	-0.0592493	-0.05958	-0.0594023
301	0.0602	-0.0592734	-0.0592433	-0.0595826	-0.0593979
302	0.0604	-0.0592771	-0.0592373	-0.0595852	-0.0593935
303	0.0606	-0.0592809	-0.0592312	-0.0595878	-0.0593891
304	0.0608	-0.0592846	-0.0592252	-0.0595904	-0.0593846
305	0.061	-0.0592883	-0.0592192	-0.0595931	-0.0593802
306	0.0612	-0.059292	-0.0592131	-0.0595957	-0.0593757
307	0.0614	-0.0592958	-0.059207	-0.0595983	-0.0593713
308	0.0616	-0.0592995	-0.0592009	-0.059601	-0.0593668
309	0.0618	-0.0593033	-0.0591948	-0.0596036	-0.0593623
310	0.062	-0.059307	-0.0591887	-0.0596063	-0.0593578
311	0.0622	-0.0593108	-0.0591826	-0.059609	-0.0593533
312	0.0624	-0.0593145	-0.0591764	-0.0596116	-0.0593488
