TimeSlice	Time	R Knee flx Ia	R Knee ext Ia	R Knee ext Ia IN	R Knee flx Ia IN	R Knee ext Ib	R Knee flx Ib	R Knee MN flx	R Knee MN ext	R Knee MN flx RE	L Knee MN ext RE
128	0.0256	-0.0604284	-0.0606691	-0.0599986	-0.0599979	-0.0589943	-0.0599763	-0.0916029	-0.0949493	-0.0565989	-0.0567738
129	0.0258	-0.0604245	-0.0606702	-0.0599986	-0.0599979	-0.0589976	-0.0599773	-0.0914801	-0.0949265	-0.0565766	-0.0567587
130	0.026	-0.0604207	-0.060671	-0.0599986	-0.0599979	-0.0590017	-0.0599782	-0.091356	-0.0948973	-0.0565538	-0.0567433
131	0.0262	-0.0604169	-0.0606716	-0.0599986	-0.0599979	-0.0590056	-0.059979	-0.0912308	-0.0948622	-0.0565307	-0.0567277
132	0.0264	-0.0604132	-0.0606719	-0.0599986	-0.0599979	-0.0590093	-0.0599798	-0.0911046	-0.0948219	-0.0565073	-0.0567119
133	0.0266	-0.0604095	-0.0606721	-0.0599986	-0.0599979	-0.0590129	-0.0599806	-0.0909777	-0.094777	-0.0564835	-0.0566959
134	0.0268	-0.0604059	-0.0606721	-0.0599986	-0.0599979	-0.0590164	-0.0599814	-0.0908503	-0.0947278	-0.0564594	-0.0566796
135	0.027	-0.0604024	-0.060672	-0.0599986	-0.0599979	-0.0590206	-0.0599821	-0.0907224	-0.0946749	-0.056435	-0.0566631
136	0.0272	-0.060399	-0.0606718	-0.0599986	-0.0599979	-0.0590246	-0.0599828	-0.0905943	-0.0946188	-0.0564103	-0.0566463
137	0.0274	-0.0603956	-0.0606715	-0.0599986	-0.0599979	-0.0590285	-0.0599835	-0.0904661	-0.0945599	-0.0563854	-0.0566294
138	0.0276	-0.0603923	-0.060671	-0.0599986	-0.0599979	-0.0590322	-0.0599841	-0.090338	-0.0944986	-0.0563602	-0.0566122
139	0.0278	-0.0603892	-0.0606706	-0.0599986	-0.0599979	-0.0590358	-0.0599848	-0.0902102	-0.0944353	-0.0563348	-0.0565947
140	0.028	-0.0603861	-0.0606701	-0.0599986	-0.0599979	-0.0590401	-0.0599854	-0.0900827	-0.0943704	-0.0563091	-0.0565771
141	0.0282	-0.0603832	-0.0606696	-0.0599986	-0.0599979	-0.0590442	-0.0599859	-0.0899558	-0.0943041	-0.0562832	-0.0565593
142	0.0284	-0.0603804	-0.060669	-0.0599986	-0.0599979	-0.0590482	-0.0599865	-0.0898295	-0.0942369	-0.0562572	-0.0565412
143	0.0286	-0.0603776	-0.0606685	-0.0599986	-0.0599979	-0.059052	-0.059987	-0.0897041	-0.0941689	-0.056231	-0.056523
144	0.0288	-0.0603751	-0.060668	-0.0599986	-0.0599979	-0.0590556	-0.0599875	-0.0895795	-0.0941004	-0.0562046	-0.0565046
145	0.029	-0.0603726	-0.0606675	-0.0599986	-0.0599979	-0.0590601	-0.059988	-0.0894559	-0.0940317	-0.056178	-0.056486
146	0.0292	-0.0603703	-0.0606671	-0.0599986	-0.0599979	-0.0590643	-0.0599885	-0.0893333	-0.0939631	-0.0561514	-0.0564673
147	0.0294	-0.060368	-0.0606667	-0.0599986	-0.0599979	-0.0590684	-0.0599889	-0.089212	-0.0938947	-0.0561246	-0.0564484
148	0.0296	-0.060366	-0.0606664	-0.0599986	-0.0599979	-0.0590723	-0.0599894	-0.0890919	-0.0938268	-0.0560977	-0.0564294
149	0.0298	-0.060364	-0.0606661	-0.0599986	-0.0599979	-0.059076	-0.0599898	-0.0889732	-0.0937594	-0.0560707	-0.0564102
150	0.03	-0.0603622	-0.0606659	-0.0599986	-0.0599979	-0.0590805	-0.0599902	-0.0888559	-0.0936927	-0.0560437	-0.0563909
151	0.0302	-0.0603606	-0.0606658	-0.0599986	-0.0599979	-0.0590848	-0.0599906	-0.08874	-0.093627	-0.0560165	-0.0563715
152	0.0304	-0.060359	-0.0606658	-0.0599986	-0.0599979	-0.059089	-0.0599909	-0.0886256	-0.0935623	-0.0559893	-0.056352
153	0.0306	-0.0603576	-0.0606659	-0.0599986	-0.0599979	-0.059093	-0.0599913	-0.0885127	-0.0934988	-0.0559621	-0.0563325
154	0.0308	-0.0603564	-0.060666	-0.0599986	-0.0599979	-0.0590968	-0.0599916	-0.0884014	-0.0934365	-0.0559349	-0.0563128
155	0.031	-0.0603552	-0.0606663	-0.0599986	-0.0599979	-0.0591014	-0.059992	-0.0882917	-0.0933756	-0.0559076	-0.0562931
156	0.0312	-0.0603542	-0.0606667	-0.0599986	-0.0599979	-0.0591059	-0.0599923	-0.0881837	-0.093316	-0.0558803	-0.0562733
157	0.0314	-0.0603534	-0.0606672	-0.0599986	-0.0599979	-0.0591101	-0.0599926	-0.0880772	-0.093258	-0.055853	-0.0562535
