TimeSlice	Time	L Hip PF ext IN	L Hip PF flx IN	L Hip PF ext	L Hip PF flx
6969	1.3938	-0.0570631	-0.06	-0.0578321	-0.0602447
6970	1.394	-0.0570643	-0.06	-0.0578332	-0.060243
6971	1.3942	-0.0570656	-0.06	-0.0578343	-0.0602413
6972	1.3944	-0.0570668	-0.06	-0.0578354	-0.0602396
6973	1.3946	-0.057068	-0.06	-0.0578365	-0.060238
6974	1.3948	-0.0570693	-0.06	-0.0578376	-0.0602363
6975	1.395	-0.0570705	-0.06	-0.0578387	-0.0602346
6976	1.3952	-0.0570717	-0.06	-0.0578398	-0.0602329
6977	1.3954	-0.057073	-0.06	-0.0578409	-0.0602312
6978	1.3956	-0.0570742	-0.06	-0.057842	-0.0602295
6979	1.3958	-0.0570755	-0.06	-0.057843	-0.0602278
6980	1.396	-0.0570767	-0.06	-0.0578441	-0.0602261
6981	1.3962	-0.0570779	-0.06	-0.0578452	-0.0602244
6982	1.3964	-0.0570792	-0.06	-0.0578463	-0.0602227
6983	1.3966	-0.0570804	-0.06	-0.0578474	-0.060221
6984	1.3968	-0.0570817	-0.06	-0.0578485	-0.0602193
6985	1.397	-0.0570829	-0.06	-0.0578496	-0.0602176
6986	1.3972	-0.0570842	-0.06	-0.0578507	-0.0602159
6987	1.3974	-0.0570854	-0.06	-0.0578518	-0.0602142
6988	1.3976	-0.0570866	-0.06	-0.0578529	-0.0602125
6989	1.3978	-0.0570879	-0.06	-0.057854	-0.0602108
6990	1.398	-0.0570891	-0.06	-0.0578551	-0.060209
6991	1.3982	-0.0570904	-0.06	-0.0578562	-0.0602073
6992	1.3984	-0.0570916	-0.06	-0.0578573	-0.0602056
6993	1.3986	-0.0570929	-0.06	-0.0578584	-0.0602039
6994	1.3988	-0.0570941	-0.06	-0.0578595	-0.0602021
6995	1.399	-0.0570954	-0.06	-0.0578606	-0.0602004
6996	1.3992	-0.0570966	-0.06	-0.0578617	-0.0601987
6997	1.3994	-0.0570979	-0.06	-0.0578628	-0.0601969
6998	1.3996	-0.0570991	-0.06	-0.057864	-0.0601952
6999	1.3998	-0.0571004	-0.06	-0.0578651	-0.0601935
7000	1.4	-0.0571017	-0.06	-0.0578662	-0.0601917
7001	1.4002	-0.0571029	-0.06	-0.0578673	-0.06019
7002	1.4004	-0.0571042	-0.06	-0.0578684	-0.0601882
7003	1.4006	-0.0571054	-0.06	-0.0578695	-0.0601865
7004	1.4008	-0.0571067	-0.06	-0.0578706	-0.0601847
7005	1.401	-0.057108	-0.06	-0.0578717	-0.060183
7006	1.4012	-0.0571092	-0.06	-0.0578728	-0.0601812
