TimeSlice	Time	hip_L_deg	knee_L_deg	ankle_L_deg	hip_R_deg	knee_R_deg	ankle_R_deg	RG_L_stance	RG_L_inhabit	RG_R_stance	PF_L_hip_ext	PF_L_knee	PF_L_dorsi	MN_L_hip_ext	MN_L_knee_ext
103	0.0206	2.19685	4.07402	-4.98071	2.60196	4.83137	-12.0401	-0.0558001	-0.0540936	-0.0590644	-0.059027	-0.06273	-0.0555568	-0.0632739	-0.0658047
104	0.0208	2.24577	4.05414	-4.97906	2.79433	5.15663	-12.8231	-0.0559119	-0.05409	-0.0592222	-0.0588045	-0.0624422	-0.0557339	-0.0632468	-0.0658362
105	0.021	2.24577	4.05414	-4.97906	2.79433	5.15663	-12.8231	-0.0559911	-0.0540864	-0.058947	-0.0587415	-0.062242	-0.0557919	-0.063219	-0.0658655
106	0.0212	2.24577	4.05414	-4.97906	2.79433	5.15663	-12.8231	-0.0561605	-0.0540831	-0.0586796	-0.0588577	-0.0622849	-0.0558004	-0.0631908	-0.0658929
107	0.0214	2.24577	4.05414	-4.97906	2.79433	5.15663	-12.8231	-0.0561467	-0.0540798	-0.0587285	-0.0590259	-0.0623525	-0.0556004	-0.0631622	-0.0659183
108	0.0216	2.24577	4.05414	-4.97906	2.79433	5.15663	-12.8231	-0.0560484	-0.0540767	-0.0584118	-0.0591417	-0.0624277	-0.0556644	-0.0631332	-0.065942
109	0.0218	2.29137	3.99709	-4.97872	3.00766	5.52442	-13.3258	-0.0559947	-0.0540737	-0.0584958	-0.0593691	-0.0622919	-0.0555536	-0.0631038	-0.065964
110	0.022	2.29137	3.99709	-4.97872	3.00766	5.52442	-13.3258	-0.0557757	-0.0540708	-0.0585439	-0.0591375	-0.0622741	-0.0554185	-0.0630741	-0.0659844
111	0.0222	2.29137	3.99709	-4.97872	3.00766	5.52442	-13.3258	-0.0556248	-0.054068	-0.0582245	-0.0593624	-0.0623157	-0.0555809	-0.0630442	-0.0660033
112	0.0224	2.29137	3.99709	-4.97872	3.00766	5.52442	-13.3258	-0.0556185	-0.0540653	-0.0583476	-0.0594559	-0.0620511	-0.0556021	-0.063014	-0.0660208
113	0.0226	2.29137	3.99709	-4.97872	3.00766	5.52442	-13.3258	-0.0553472	-0.0540628	-0.0582804	-0.0592714	-0.0620899	-0.055781	-0.0629836	-0.0660369
114	0.0228	2.33486	3.90618	-4.97865	3.24173	5.93726	-13.5105	-0.0552423	-0.0540603	-0.058456	-0.059237	-0.0619588	-0.0556745	-0.0629531	-0.0660518
115	0.023	2.33486	3.90618	-4.97865	3.24173	5.93726	-13.5105	-0.0552276	-0.0540579	-0.0585155	-0.0593988	-0.0619559	-0.0554149	-0.0629224	-0.0660655
116	0.0232	2.33486	3.90618	-4.97865	3.24173	5.93726	-13.5105	-0.0550629	-0.0540557	-0.0585318	-0.0594804	-0.0618226	-0.0554038	-0.0628916	-0.0660781
117	0.0234	2.33486	3.90618	-4.97865	3.24173	5.93726	-13.5105	0	-0.0540535	-0.0586774	-0.05944	-0.0615176	-0.0555423	-0.0628607	-0.0660897
118	0.0236	2.33486	3.90618	-4.97865	3.24173	5.93726	-13.5105	-0.0555163	-0.0540514	-0.0588641	-0.0591872	-0.0616528	-0.0554048	-0.0628297	-0.0661002
119	0.0238	2.37665	3.78527	-4.97914	3.49402	6.39194	-13.3856	-0.0562132	-0.0540494	-0.0592447	-0.0585845	-0.0616616	-0.0555913	-0.0627986	-0.0661098
120	0.024	2.37665	3.78527	-4.97914	3.49402	6.39194	-13.3856	-0.0568293	-0.0540474	-0.059494	-0.0580807	-0.0614038	-0.0555672	-0.0627676	-0.0661186
121	0.0242	2.37665	3.78527	-4.97914	3.49402	6.39194	-13.3856	-0.0571188	-0.0540456	-0.059599	-0.0578072	-0.0614437	-0.0553412	-0.0627365	-0.0661265
122	0.0244	2.37665	3.78527	-4.97914	3.49402	6.39194	-13.3856	-0.0573931	-0.0540438	-0.0597976	-0.0575911	-0.0612487	-0.0552143	-0.0627055	-0.0661336
123	0.0246	2.37665	3.78527	-4.97914	3.49402	6.39194	-13.3856	-0.057902	-0.0540421	-0.0599951	-0.0574065	-0.0610084	-0.0550028	-0.0626744	-0.06614
124	0.0248	2.41653	3.63828	-4.98005	3.7604	6.88033	-12.9965	-0.0582124	-0.0540404	-0.0601131	-0.0570542	-0.0610648	-0.0550894	-0.0626435	-0.0661457
125	0.025	2.41653	3.63828	-4.98005	3.7604	6.88033	-12.9965	-0.0583487	-0.0540388	-0.0601649	-0.05683	-0.0609399	-0.0552058	-0.0626125	-0.0661508
126	0.0252	2.41653	3.63828	-4.98005	3.7604	6.88033	-12.9965	-0.0586727	-0.0540373	-0.0600235	-0.0564834	-0.0607543	-0.0552389	-0.0625817	-0.0661552
127	0.0254	2.41653	3.63828	-4.98005	3.7604	6.88033	-12.9965	-0.0586365	-0.0540359	-0.0601325	-0.0566505	-0.0605899	-0.0552652	-0.0625509	-0.0661591
128	0.0256	2.41653	3.63828	-4.98005	3.7604	6.88033	-12.9965	-0.0585349	-0.0540344	-0.06021	-0.0565663	-0.0607803	-0.0551272	-0.0625202	-0.0661624
129	0.0258	2.45382	3.46878	-4.9811	4.03584	7.39109	-12.4126	-0.0585116	-0.0540331	-0.0604189	-0.0566792	-0.060887	0	-0.0624897	-0.0661652
130	0.026	2.45382	3.46878	-4.9811	4.03584	7.39109	-12.4126	-0.0584659	-0.0540318	-0.0604789	-0.056734	-0.0607107	-0.0552549	-0.0624592	-0.0661676
131	0.0262	2.45382	3.46878	-4.9811	4.03584	7.39109	-12.4126	-0.0586443	-0.0540306	-0.0607193	-0.0567837	-0.0604527	-0.0559061	-0.0624289	-0.0661694
132	0.0264	2.45382	3.46878	-4.9811	4.03584	7.39109	-12.4126	-0.0587543	-0.0540294	-0.0607654	-0.0565417	-0.0602282	-0.0565682	-0.0623987	-0.0661709
133	0.0266	2.45382	3.46878	-4.9811	4.03584	7.39109	-12.4126	-0.0589228	-0.0540282	-0.0609696	-0.0562881	-0.0602296	-0.0567289	-0.0623687	-0.066172
134	0.0268	2.48776	3.2798	-4.98225	4.31405	7.90002	-11.8776	-0.0590266	-0.0540271	-0.0612138	-0.0564344	-0.0601859	-0.0570561	-0.0623388	-0.0661726
135	0.027	2.48776	3.2798	-4.98225	4.31405	7.90002	-11.8776	-0.0591321	-0.054026	-0.061015	-0.0565723	-0.0603857	-0.0571112	-0.0623091	-0.066173
136	0.0272	2.48776	3.2798	-4.98225	4.31405	7.90002	-11.8776	-0.059278	-0.054025	-0.0607825	-0.0566833	-0.0602949	-0.05733	-0.0622796	-0.066173
137	0.0274	2.48776	3.2798	-4.98225	4.31405	7.90002	-11.8776	-0.0592146	-0.054024	-0.0605713	-0.0566948	-0.0604387	-0.0574143	-0.0622502	-0.0661726
138	0.0276	2.48776	3.2798	-4.98225	4.31405	7.90002	-11.8776	-0.0589774	-0.0540231	-0.0604445	-0.0568852	-0.060367	-0.0574564	-0.062221	-0.066172
139	0.0278	2.51766	3.07403	-4.98314	4.58973	8.38716	-11.5913	-0.0590931	-0.0540222	-0.0602506	-0.057025	-0.0601562	-0.0577473	-0.0621921	-0.0661711
140	0.028	2.51766	3.07403	-4.98314	4.58973	8.38716	-11.5913	-0.0591991	-0.0540213	-0.0602329	-0.0571191	-0.0599172	-0.0580258	-0.0621633	-0.06617
141	0.0282	2.51766	3.07403	-4.98314	4.58973	8.38716	-11.5913	-0.0593607	-0.0540205	-0.0602479	-0.0571126	-0.0599199	-0.0583673	-0.0621347	-0.0661686
142	0.0284	2.51766	3.07403	-4.98314	4.58973	8.38716	-11.5913	-0.0590776	-0.0540197	-0.060323	-0.0571597	-0.0597376	-0.0583463	-0.0621063	-0.066167
143	0.0286	2.51766	3.07403	-4.98314	4.58973	8.38716	-11.5913	-0.0589311	-0.0540189	-0.0603195	-0.0572235	-0.059499	-0.0586312	-0.0620781	-0.0661651
