TimeSlice	Time	L Ank flx Ia	L Ank ext Ia	L Ank flx Ia IN	L Ank ext Ia IN	L Ank ext Ib	L Ank flx Ib	L Ank MN ext	L Ank MN flx	L Ank MN flx RE	L Ank MN ext RE
123	0.0246	-0.0606324	-0.0604713	-0.0599982	-0.0599992	-0.0597281	-0.0597689	-0.091626	-0.0963976	-0.056995	-0.0566017
124	0.0248	-0.060635	-0.0604674	-0.0599982	-0.0599992	-0.0597297	-0.0597705	-0.0915154	-0.0964211	-0.0569816	-0.0565816
125	0.025	-0.0606373	-0.0604635	-0.0599982	-0.0599992	-0.0597324	-0.0597722	-0.0914026	-0.0964343	-0.056968	-0.0565611
126	0.0252	-0.0606391	-0.0604596	-0.0599982	-0.0599992	-0.059735	-0.0597737	-0.0912879	-0.0964378	-0.0569542	-0.0565401
127	0.0254	-0.0606405	-0.0604557	-0.0599982	-0.0599992	-0.0597376	-0.0597752	-0.0911714	-0.0964325	-0.0569402	-0.0565187
128	0.0256	-0.0606417	-0.0604518	-0.0599982	-0.0599992	-0.05974	-0.0597767	-0.0910533	-0.0964191	-0.056926	-0.0564969
129	0.0258	-0.0606425	-0.0604479	-0.0599982	-0.0599992	-0.0597423	-0.0597781	-0.0909337	-0.0963982	-0.0569116	-0.0564747
130	0.026	-0.0606431	-0.0604441	-0.0599982	-0.0599992	-0.0597458	-0.0597794	-0.0908128	-0.0963705	-0.056897	-0.0564521
131	0.0262	-0.0606434	-0.0604403	-0.0599982	-0.0599992	-0.0597491	-0.0597807	-0.090691	-0.0963366	-0.056882	-0.0564292
132	0.0264	-0.0606435	-0.0604366	-0.0599982	-0.0599992	-0.0597524	-0.0597819	-0.0905684	-0.0962972	-0.0568669	-0.0564059
133	0.0266	-0.0606435	-0.060433	-0.0599982	-0.0599992	-0.0597555	-0.0597831	-0.0904451	-0.0962526	-0.0568514	-0.0563823
134	0.0268	-0.0606433	-0.0604294	-0.0599982	-0.0599992	-0.0597584	-0.0597842	-0.0903213	-0.0962036	-0.0568357	-0.0563583
135	0.027	-0.0606429	-0.0604258	-0.0599982	-0.0599992	-0.0597624	-0.0597853	-0.0901972	-0.0961505	-0.0568198	-0.0563341
136	0.0272	-0.0606425	-0.0604224	-0.0599982	-0.0599992	-0.0597663	-0.0597863	-0.090073	-0.0960938	-0.0568035	-0.0563096
137	0.0274	-0.0606419	-0.060419	-0.0599982	-0.0599992	-0.05977	-0.0597872	-0.0899489	-0.096034	-0.056787	-0.0562848
138	0.0276	-0.0606413	-0.0604158	-0.0599982	-0.0599992	-0.0597735	-0.0597882	-0.0898251	-0.0959715	-0.0567703	-0.0562598
139	0.0278	-0.0606407	-0.0604126	-0.0599982	-0.0599992	-0.059777	-0.0597891	-0.0897016	-0.0959066	-0.0567533	-0.0562345
140	0.028	-0.06064	-0.0604095	-0.0599982	-0.0599992	-0.0597811	-0.0597899	-0.0895786	-0.0958398	-0.0567361	-0.056209
141	0.0282	-0.0606392	-0.0604066	-0.0599982	-0.0599992	-0.0597851	-0.0597907	-0.0894562	-0.0957714	-0.0567186	-0.0561834
142	0.0284	-0.0606385	-0.0604037	-0.0599982	-0.0599992	-0.059789	-0.0597915	-0.0893347	-0.0957017	-0.0567009	-0.0561575
143	0.0286	-0.0606378	-0.060401	-0.0599982	-0.0599992	-0.0597926	-0.0597922	-0.0892141	-0.0956309	-0.0566829	-0.0561315
144	0.0288	-0.0606371	-0.0603984	-0.0599982	-0.0599992	-0.0597962	-0.0597929	-0.0890945	-0.0955594	-0.0566648	-0.0561053
145	0.029	-0.0606365	-0.0603959	-0.0599982	-0.0599992	-0.0598001	-0.0597936	-0.0889759	-0.0954875	-0.0566464	-0.056079
146	0.0292	-0.0606359	-0.0603936	-0.0599982	-0.0599992	-0.0598039	-0.0597943	-0.0888586	-0.0954153	-0.0566279	-0.0560525
147	0.0294	-0.0606353	-0.0603913	-0.0599982	-0.0599992	-0.0598076	-0.0597949	-0.0887425	-0.0953431	-0.0566092	-0.056026
148	0.0296	-0.0606348	-0.0603892	-0.0599982	-0.0599992	-0.0598111	-0.0597955	-0.0886278	-0.095271	-0.0565903	-0.0559993
149	0.0298	-0.0606344	-0.0603873	-0.0599982	-0.0599992	-0.0598144	-0.0597961	-0.0885144	-0.0951993	-0.0565712	-0.0559726
150	0.03	-0.0606341	-0.0603854	-0.0599982	-0.0599992	-0.0598179	-0.0597967	-0.0884025	-0.0951282	-0.056552	-0.0559458
151	0.0302	-0.0606339	-0.0603837	-0.0599982	-0.0599992	-0.0598212	-0.0597973	-0.0882922	-0.0950577	-0.0565327	-0.0559189
152	0.0304	-0.0606337	-0.0603822	-0.0599982	-0.0599992	-0.0598244	-0.0597979	-0.0881833	-0.0949881	-0.0565132	-0.055892
153	0.0306	-0.0606337	-0.0603807	-0.0599982	-0.0599992	-0.0598274	-0.0597984	-0.088076	-0.0949195	-0.0564936	-0.0558651
154	0.0308	-0.0606337	-0.0603794	-0.0599982	-0.0599992	-0.0598303	-0.0597989	-0.0879703	-0.0948519	-0.0564739	-0.0558381
155	0.031	-0.0606339	-0.0603783	-0.0599982	-0.0599992	-0.0598331	-0.0597995	-0.0878662	-0.0947854	-0.0564541	-0.0558111
156	0.0312	-0.0606342	-0.0603772	-0.0599982	-0.0599992	-0.0598358	-0.0598001	-0.0877637	-0.0947202	-0.0564342	-0.0557842
157	0.0314	-0.0606346	-0.0603763	-0.0599982	-0.0599992	-0.0598384	-0.0598006	-0.0876628	-0.0946564	-0.0564142	-0.0557572
158	0.0316	-0.0606351	-0.0603755	-0.0599982	-0.0599992	-0.0598409	-0.0598012	-0.0875636	-0.094594	-0.0563942	-0.0557302
159	0.0318	-0.0606357	-0.0603749	-0.0599982	-0.0599992	-0.0598432	-0.0598017	-0.0874659	-0.094533	-0.0563741	-0.0557033
160	0.032	-0.0606364	-0.0603743	-0.0599982	-0.0599992	-0.0598453	-0.0598022	-0.0873698	-0.0944735	-0.0563539	-0.0556764
161	0.0322	-0.0606373	-0.0603739	-0.0599982	-0.0599992	-0.0598474	-0.0598028	-0.0872753	-0.0944156	-0.0563337	-0.0556495
162	0.0324	-0.0606382	-0.0603736	-0.0599982	-0.0599992	-0.0598493	-0.0598034	-0.0871824	-0.0943593	-0.0563135	-0.0556227
163	0.0326	-0.0606393	-0.0603735	-0.0599982	-0.0599992	-0.0598512	-0.0598039	-0.087091	-0.0943046	-0.0562933	-0.0555959
164	0.0328	-0.0606405	-0.0603734	-0.0599982	-0.0599992	-0.059853	-0.0598044	-0.0870011	-0.0942515	-0.056273	-0.0555692
165	0.033	-0.0606418	-0.0603735	-0.0599981	-0.0599992	-0.0598544	-0.059805	-0.0869127	-0.0942	-0.0562528	-0.0555426
166	0.0332	-0.0606433	-0.0603736	-0.0599981	-0.0599992	-0.0598559	-0.0598056	-0.0868257	-0.0941503	-0.0562325	-0.055516
167	0.0334	-0.0606448	-0.0603739	-0.0599981	-0.0599992	-0.0598572	-0.0598061	-0.0867402	-0.0941021	-0.0562123	-0.0554895
168	0.0336	-0.0606465	-0.0603742	-0.0599981	-0.0599992	-0.0598585	-0.0598067	-0.086656	-0.0940556	-0.056192	-0.0554631
169	0.0338	-0.0606483	-0.0603747	-0.0599981	-0.0599992	-0.0598598	-0.0598072	-0.0865731	-0.0940108	-0.0561718	-0.0554367
170	0.034	-0.0606501	-0.0603752	-0.0599981	-0.0599992	-0.0598608	-0.0598078	-0.0864916	-0.0939675	-0.0561516	-0.0554105
