TimeSlice	Time	L Knee PF flx IN	L Knee PF ext IN	L Knee PF flx	L Knee PF ext
2145	0.429	-0.06	-0.0562982	-0.0611968	-0.0571858
2146	0.4292	-0.06	-0.0563021	-0.0611931	-0.0571892
2147	0.4294	-0.06	-0.0563059	-0.0611895	-0.0571926
2148	0.4296	-0.06	-0.0563098	-0.0611858	-0.057196
2149	0.4298	-0.06	-0.0563136	-0.0611821	-0.0571993
2150	0.43	-0.06	-0.0563174	-0.0611785	-0.0572027
2151	0.4302	-0.06	-0.0563212	-0.0611749	-0.057206
2152	0.4304	-0.06	-0.056325	-0.0611712	-0.0572093
2153	0.4306	-0.06	-0.0563288	-0.0611676	-0.0572126
2154	0.4308	-0.06	-0.0563326	-0.061164	-0.0572158
2155	0.431	-0.06	-0.0563363	-0.0611604	-0.0572191
2156	0.4312	-0.06	-0.05634	-0.0611568	-0.0572223
2157	0.4314	-0.06	-0.0563438	-0.0611532	-0.0572255
2158	0.4316	-0.06	-0.0563475	-0.0611496	-0.0572287
2159	0.4318	-0.06	-0.0563511	-0.061146	-0.0572319
2160	0.432	-0.06	-0.0563548	-0.0611424	-0.0572351
2161	0.4322	-0.06	-0.0563585	-0.0611388	-0.0572383
2162	0.4324	-0.06	-0.0563621	-0.0611353	-0.0572414
2163	0.4326	-0.06	-0.0563657	-0.0611317	-0.0572445
2164	0.4328	-0.06	-0.0563693	-0.0611282	-0.0572476
2165	0.433	-0.06	-0.0563729	-0.0611246	-0.0572507
2166	0.4332	-0.06	-0.0563765	-0.0611211	-0.0572538
2167	0.4334	-0.06	-0.05638	-0.0611176	-0.0572569
2168	0.4336	-0.06	-0.0563836	-0.0611141	-0.0572599
2169	0.4338	-0.06	-0.0563871	-0.0611106	-0.0572629
2170	0.434	-0.06	-0.0563906	-0.0611071	-0.057266
2171	0.4342	-0.06	-0.0563941	-0.0611036	-0.057269
2172	0.4344	-0.06	-0.0563976	-0.0611001	-0.0572719
2173	0.4346	-0.06	-0.0564011	-0.0610966	-0.0572749
2174	0.4348	-0.06	-0.0564045	-0.0610932	-0.0572779
2175	0.435	-0.06	-0.056408	-0.0610897	-0.0572808
2176	0.4352	-0.06	-0.0564114	-0.0610863	-0.0572837
2177	0.4354	-0.06	-0.0564148	-0.0610828	-0.0572866
2178	0.4356	-0.06	-0.0564182	-0.0610794	-0.0572895
2179	0.4358	-0.06	-0.0564216	-0.061076	-0.0572924
2180	0.436	-0.06	-0.056425	-0.0610726	-0.0572953
2181	0.4362	-0.06	-0.0564283	-0.0610691	-0.0572981
2182	0.4364	-0.06	-0.0564316	-0.0610657	-0.057301
2183	0.4366	-0.06	-0.056435	-0.0610624	-0.0573038
2184	0.4368	-0.06	-0.0564383	-0.061059	-0.0573066
2185	0.437	-0.06	-0.0564416	-0.0610556	-0.0573094
2186	0.4372	-0.06	-0.0564448	-0.0610523	-0.0573121
2187	0.4374	-0.06	-0.0564481	-0.0610489	-0.0573149
2188	0.4376	-0.06	-0.0564513	-0.0610456	-0.0573177
2189	0.4378	-0.06	-0.0564546	-0.0610422	-0.0573204
2190	0.438	-0.06	-0.0564578	-0.0610389	-0.0573231
2191	0.4382	-0.06	-0.056461	-0.0610356	-0.0573258
2192	0.4384	-0.06	-0.0564642	-0.0610323	-0.0573285
2193	0.4386	-0.06	-0.0564673	-0.061029	-0.0573312
2194	0.4388	-0.06	-0.0564705	-0.0610257	-0.0573339
2195	0.439	-0.06	-0.0564736	-0.0610224	-0.0573365
2196	0.4392	-0.06	-0.0564768	-0.0610191	-0.0573391
2197	0.4394	-0.06	-0.0564799	-0.0610159	-0.0573418
2198	0.4396	-0.06	-0.056483	-0.0610126	-0.0573444
2199	0.4398	-0.06	-0.0564861	-0.0610094	-0.057347
2200	0.44	-0.06	-0.0564891	-0.0610062	-0.0573496
2201	0.4402	-0.06	-0.0564922	-0.0610029	-0.0573521
2202	0.4404	-0.06	-0.0564952	-0.0609997	-0.0573547
2203	0.4406	-0.06	-0.0564983	-0.0609965	-0.0573572
2204	0.4408	-0.06	-0.0565013	-0.0609933	-0.0573598
2205	0.441	-0.06	-0.0565043	-0.0609901	-0.0573623
2206	0.4412	-0.06	-0.0565073	-0.060987	-0.0573648
2207	0.4414	-0.06	-0.0565102	-0.0609838	-0.0573673
2208	0.4416	-0.06	-0.0565132	-0.0609806	-0.0573698
2209	0.4418	-0.06	-0.0565161	-0.0609775	-0.0573722
2210	0.442	-0.06	-0.0565191	-0.0609744	-0.0573747
2211	0.4422	-0.06	-0.056522	-0.0609712	-0.0573771
2212	0.4424	-0.06	-0.0565249	-0.0609681	-0.0573796
2213	0.4426	-0.06	-0.0565278	-0.060965	-0.057382
2214	0.4428	-0.06	-0.0565307	-0.0609619	-0.0573844
2215	0.443	-0.06	-0.0565335	-0.0609588	-0.0573868
2216	0.4432	-0.06	-0.0565364	-0.0609557	-0.0573892
2217	0.4434	-0.06	-0.0565392	-0.0609527	-0.0573915
2218	0.4436	-0.06	-0.056542	-0.0609496	-0.0573939
2219	0.4438	-0.06	-0.0565448	-0.0609466	-0.0573962
2220	0.444	-0.06	-0.0565476	-0.0609435	-0.0573986
2221	0.4442	-0.06	-0.0565504	-0.0609405	-0.0574009
2222	0.4444	-0.06	-0.0565532	-0.0609375	-0.0574032
2223	0.4446	-0.06	-0.0565559	-0.0609344	-0.0574055
2224	0.4448	-0.06	-0.0565587	-0.0609314	-0.0574078
2225	0.445	-0.06	-0.0565614	-0.0609284	-0.05741
2226	0.4452	-0.06	-0.0565641	-0.0609255	-0.0574123
2227	0.4454	-0.06	-0.0565668	-0.0609225	-0.0574146
2228	0.4456	-0.06	-0.0565695	-0.0609195	-0.0574168
2229	0.4458	-0.06	-0.0565722	-0.0609166	-0.057419
2230	0.446	-0.06	-0.0565749	-0.0609136	-0.0574213
2231	0.4462	-0.06	-0.0565775	-0.0609107	-0.0574235
2232	0.4464	-0.06	-0.0565802	-0.0609078	-0.0574257
2233	0.4466	-0.06	-0.0565828	-0.0609048	-0.0574278
2234	0.4468	-0.06	-0.0565854	-0.0609019	-0.05743
2235	0.447	-0.06	-0.056588	-0.060899	-0.0574322
2236	0.4472	-0.06	-0.0565906	-0.0608961	-0.0574343
2237	0.4474	-0.06	-0.0565932	-0.0608933	-0.0574365
2238	0.4476	-0.06	-0.0565958	-0.0608904	-0.0574386
2239	0.4478	-0.06	-0.0565983	-0.0608875	-0.0574407
2240	0.448	-0.06	-0.0566009	-0.0608847	-0.0574428
2241	0.4482	-0.06	-0.0566034	-0.0608818	-0.0574449
2242	0.4484	-0.06	-0.0566059	-0.060879	-0.057447
2243	0.4486	-0.06	-0.0566085	-0.0608762	-0.0574491
