TimeSlice	Time	L Hip flx Ia	L Hip ext Ia	L Hip ext Ia IN	L Hip flx Ia IN	L Hip flx Ib	L Hip ext Ib	L Hip MN ext	L Hip MN flx	L Hip MN flx R	L Hip MN ext R
135	0.027	-0.0579715	-0.0578621	-0.057607	-0.0573302	-0.0582676	-0.0598854	-0.0916809	-0.0908714	-0.0562122	-0.0566475
136	0.0272	-0.057969	-0.057859	-0.0576065	-0.057328	-0.0582875	-0.0598899	-0.0915699	-0.0908693	-0.0561969	-0.0566236
137	0.0274	-0.0579665	-0.0578561	-0.0576061	-0.0573259	-0.0583067	-0.0598942	-0.0914593	-0.0908652	-0.0561815	-0.0565994
138	0.0276	-0.0579641	-0.0578534	-0.0576057	-0.0573239	-0.0583251	-0.0598984	-0.0913491	-0.0908594	-0.056166	-0.0565749
139	0.0278	-0.0579616	-0.0578509	-0.0576054	-0.0573219	-0.0583427	-0.0599023	-0.0912394	-0.0908521	-0.0561505	-0.0565502
140	0.028	-0.0579592	-0.0578485	-0.057605	-0.0573198	-0.0583625	-0.0599062	-0.0911303	-0.0908435	-0.0561348	-0.0565253
141	0.0282	-0.0579568	-0.0578464	-0.0576046	-0.0573178	-0.0583816	-0.0599098	-0.0910221	-0.0908343	-0.0561192	-0.0565002
142	0.0284	-0.0579544	-0.0578444	-0.0576043	-0.0573158	-0.0583999	-0.0599134	-0.0909147	-0.0908246	-0.0561034	-0.056475
143	0.0286	-0.0579521	-0.0578426	-0.057604	-0.057314	-0.0584174	-0.0599168	-0.0908082	-0.0908145	-0.0560876	-0.0564495
144	0.0288	-0.0579499	-0.057841	-0.0576037	-0.0573122	-0.0584343	-0.05992	-0.0907028	-0.0908041	-0.0560717	-0.0564239
145	0.029	-0.0579478	-0.0578396	-0.0576034	-0.0573103	-0.0584531	-0.0599232	-0.0905985	-0.0907937	-0.0560557	-0.0563982
146	0.0292	-0.0579457	-0.0578383	-0.0576031	-0.0573084	-0.0584711	-0.0599262	-0.0904954	-0.0907835	-0.0560397	-0.0563723
