TimeSlice	Time	L Knee PF flx IN	L Knee PF ext IN	L Knee PF flx	L Knee PF ext
14539	2.9078	-0.06	-0.0569641	-0.0603859	-0.0577406
14540	2.908	-0.06	-0.0569651	-0.0603846	-0.0577414
14541	2.9082	-0.06	-0.056966	-0.0603833	-0.0577422
14542	2.9084	-0.06	-0.056967	-0.0603821	-0.057743
14543	2.9086	-0.06	-0.056968	-0.0603808	-0.0577438
14544	2.9088	-0.06	-0.056969	-0.0603795	-0.0577446
14545	2.909	-0.06	-0.05697	-0.0603783	-0.0577454
14546	2.9092	-0.06	-0.056971	-0.060377	-0.0577462
14547	2.9094	-0.06	-0.0569719	-0.0603757	-0.057747
14548	2.9096	-0.06	-0.0569729	-0.0603745	-0.0577478
14549	2.9098	-0.06	-0.0569739	-0.0603732	-0.0577486
14550	2.91	-0.06	-0.0569748	-0.060372	-0.0577494
14551	2.9102	-0.06	-0.0569758	-0.0603707	-0.0577502
14552	2.9104	-0.06	-0.0569767	-0.0603695	-0.057751
14553	2.9106	-0.06	-0.0569777	-0.0603683	-0.0577518
14554	2.9108	-0.06	-0.0569786	-0.060367	-0.0577525
14555	2.911	-0.06	-0.0569796	-0.0603658	-0.0577533
14556	2.9112	-0.06	-0.0569805	-0.0603646	-0.0577541
14557	2.9114	-0.06	-0.0569815	-0.0603634	-0.0577549
14558	2.9116	-0.06	-0.0569824	-0.0603621	-0.0577556
14559	2.9118	-0.06	-0.0569834	-0.0603609	-0.0577564
14560	2.912	-0.06	-0.0569843	-0.0603597	-0.0577572
14561	2.9122	-0.06	-0.0569852	-0.0603585	-0.0577579
14562	2.9124	-0.06	-0.0569861	-0.0603573	-0.0577587
14563	2.9126	-0.06	-0.0569871	-0.0603561	-0.0577594
14564	2.9128	-0.06	-0.056988	-0.0603549	-0.0577602
14565	2.913	-0.06	-0.0569889	-0.0603537	-0.057761
14566	2.9132	-0.06	-0.0569898	-0.0603525	-0.0577617
14567	2.9134	-0.06	-0.0569907	-0.0603513	-0.0577624
14568	2.9136	-0.06	-0.0569916	-0.0603501	-0.0577632
14569	2.9138	-0.06	-0.0569925	-0.060349	-0.0577639
14570	2.914	-0.06	-0.0569934	-0.0603478	-0.0577647
14571	2.9142	-0.06	-0.0569943	-0.0603466	-0.0577654
14572	2.9144	-0.06	-0.0569952	-0.0603454	-0.0577661
14573	2.9146	-0.06	-0.0569961	-0.0603443	-0.0577669
14574	2.9148	-0.06	-0.056997	-0.0603431	-0.0577676
14575	2.915	-0.06	-0.0569979	-0.0603419	-0.0577683
14576	2.9152	-0.06	-0.0569988	-0.0603408	-0.057769
14577	2.9154	-0.06	-0.0569997	-0.0603396	-0.0577698
14578	2.9156	-0.06	-0.0570006	-0.0603385	-0.0577705
14579	2.9158	-0.06	-0.0570014	-0.0603373	-0.0577712
14580	2.916	-0.06	-0.0570023	-0.0603362	-0.0577719
14581	2.9162	-0.06	-0.0570032	-0.0603351	-0.0577726
14582	2.9164	-0.06	-0.0570041	-0.0603339	-0.0577733
14583	2.9166	-0.06	-0.0570049	-0.0603328	-0.057774
14584	2.9168	-0.06	-0.0570058	-0.0603317	-0.0577747
14585	2.917	-0.06	-0.0570066	-0.0603305	-0.0577754
14586	2.9172	-0.06	-0.0570075	-0.0603294	-0.0577761
14587	2.9174	-0.06	-0.0570083	-0.0603283	-0.0577768
14588	2.9176	-0.06	-0.0570092	-0.0603272	-0.0577775
14589	2.9178	-0.06	-0.05701	-0.0603261	-0.0577782
14590	2.918	-0.06	-0.0570109	-0.0603249	-0.0577789
14591	2.9182	-0.06	-0.0570117	-0.0603238	-0.0577796
14592	2.9184	-0.06	-0.0570126	-0.0603227	-0.0577803
14593	2.9186	-0.06	-0.0570134	-0.0603216	-0.057781
14594	2.9188	-0.06	-0.0570142	-0.0603205	-0.0577817
14595	2.919	-0.06	-0.0570151	-0.0603194	-0.0577823
14596	2.9192	-0.06	-0.0570159	-0.0603184	-0.057783
14597	2.9194	-0.06	-0.0570167	-0.0603173	-0.0577837
14598	2.9196	-0.06	-0.0570176	-0.0603162	-0.0577843
14599	2.9198	-0.06	-0.0570184	-0.0603151	-0.057785
14600	2.92	-0.06	-0.0570192	-0.060314	-0.0577857
14601	2.9202	-0.06	-0.05702	-0.0603129	-0.0577863
14602	2.9204	-0.06	-0.0570208	-0.0603119	-0.057787
14603	2.9206	-0.06	-0.0570216	-0.0603108	-0.0577877
14604	2.9208	-0.06	-0.0570224	-0.0603097	-0.0577883
14605	2.921	-0.06	-0.0570232	-0.0603087	-0.057789
14606	2.9212	-0.06	-0.057024	-0.0603076	-0.0577896
14607	2.9214	-0.06	-0.0570248	-0.0603066	-0.0577903
14608	2.9216	-0.06	-0.0570256	-0.0603055	-0.0577909
14609	2.9218	-0.06	-0.0570264	-0.0603045	-0.0577916
14610	2.922	-0.06	-0.0570272	-0.0603034	-0.0577922
14611	2.9222	-0.06	-0.057028	-0.0603024	-0.0577928
14612	2.9224	-0.06	-0.0570288	-0.0603013	-0.0577935
