TimeSlice	Time	R Knee flx Ia	R Knee ext Ia	R Knee ext Ia IN	R Knee flx Ia IN	R Knee ext Ib	R Knee flx Ib	R Knee MN flx	R Knee MN ext	R Knee MN flx RE	L Knee MN ext RE
16184	3.2368	-0.0620653	-0.0601792	-0.0599986	-0.0599972	-0.0581746	-0.06	-0.0842179	-0.0595275	-0.0462772	-0.0451948
16185	3.237	-0.0620551	-0.0601886	-0.0599986	-0.0599972	-0.0581745	-0.06	-0.0840443	-0.0596148	-0.0462703	-0.0451992
16186	3.2372	-0.0620448	-0.0601981	-0.0599986	-0.0599972	-0.0581743	-0.06	-0.0838686	-0.0597033	-0.0462634	-0.0452038
16187	3.2374	-0.0620343	-0.0602078	-0.0599986	-0.0599972	-0.0581742	-0.06	-0.0836909	-0.059793	-0.0462564	-0.0452084
16188	3.2376	-0.0620237	-0.0602176	-0.0599986	-0.0599972	-0.0581741	-0.06	-0.0835112	-0.0598838	-0.0462493	-0.0452131
16189	3.2378	-0.0620129	-0.0602274	-0.0599986	-0.0599972	-0.0581739	-0.06	-0.0833294	-0.0599758	-0.046242	-0.0452179
16190	3.238	-0.062002	-0.0602374	-0.0599986	-0.0599972	-0.0581738	-0.06	-0.0831455	-0.060069	-0.0462346	-0.0452228
16191	3.2382	-0.061991	-0.0602475	-0.0599986	-0.0599972	-0.0581736	-0.06	-0.0829596	-0.0601633	-0.0462272	-0.0452278
16192	3.2384	-0.0619798	-0.0602577	-0.0599986	-0.0599972	-0.0581734	-0.06	-0.0827717	-0.0602589	-0.0462196	-0.0452329
16193	3.2386	-0.0619684	-0.060268	-0.0599986	-0.0599972	-0.0581733	-0.06	-0.0825817	-0.0603556	-0.0462119	-0.0452381
16194	3.2388	-0.0619569	-0.0602784	-0.0599986	-0.0599972	-0.0581731	-0.06	-0.0823897	-0.0604536	-0.046204	-0.0452434
16195	3.239	-0.0619452	-0.0602889	-0.0599986	-0.0599972	-0.058173	-0.06	-0.0821956	-0.0605528	-0.0461961	-0.0452488
16196	3.2392	-0.0619334	-0.0602995	-0.0599986	-0.0599972	-0.0581728	-0.06	-0.0819995	-0.0606532	-0.0461881	-0.0452542
16197	3.2394	-0.0619214	-0.0603102	-0.0599986	-0.0599972	-0.0581726	-0.06	-0.0818015	-0.0607549	-0.0461799	-0.0452598
16198	3.2396	-0.0619093	-0.060321	-0.0599986	-0.0599972	-0.0581724	-0.06	-0.0816014	-0.0608579	-0.0461716	-0.0452654
16199	3.2398	-0.061897	-0.060332	-0.0599986	-0.0599972	-0.0581722	-0.06	-0.0813994	-0.0609621	-0.0461632	-0.0452712
16200	3.24	-0.0618845	-0.060343	-0.0599986	-0.0599972	-0.058172	-0.06	-0.0811955	-0.0610677	-0.0461547	-0.045277
16201	3.2402	-0.0618719	-0.0603542	-0.0599986	-0.0599972	-0.0581718	-0.06	-0.0809896	-0.0611747	-0.0461461	-0.045283
16202	3.2404	-0.0618591	-0.0603654	-0.0599986	-0.0599972	-0.0581716	-0.06	-0.0807818	-0.0612831	-0.0461373	-0.045289
16203	3.2406	-0.0618462	-0.0603768	-0.0599986	-0.0599972	-0.0581714	-0.06	-0.0805721	-0.0613928	-0.0461284	-0.0452952
16204	3.2408	-0.0618331	-0.0603883	-0.0599986	-0.0599972	-0.0581712	-0.06	-0.0803606	-0.061504	-0.0461195	-0.0453014
16205	3.241	-0.0618198	-0.0603999	-0.0599986	-0.0599972	-0.058171	-0.06	-0.0801473	-0.0616167	-0.0461104	-0.0453078
16206	3.2412	-0.0618064	-0.0604117	-0.0599986	-0.0599972	-0.0581708	-0.06	-0.0799322	-0.0617309	-0.0461011	-0.0453143
16207	3.2414	-0.0617928	-0.0604235	-0.0599986	-0.0599972	-0.0581706	-0.06	-0.0797153	-0.0618465	-0.0460918	-0.0453208
16208	3.2416	-0.061779	-0.0604355	-0.0599986	-0.0599972	-0.0581703	-0.06	-0.0794967	-0.0619638	-0.0460823	-0.0453275
16209	3.2418	-0.0617651	-0.0604476	-0.0599986	-0.0599972	-0.0581701	-0.06	-0.0792764	-0.0620826	-0.0460728	-0.0453343
16210	3.242	-0.061751	-0.0604598	-0.0599986	-0.0599972	-0.0581699	-0.06	-0.0790544	-0.0622031	-0.0460631	-0.0453411
16211	3.2422	-0.0617368	-0.0604722	-0.0599986	-0.0599972	-0.0581696	-0.06	-0.0788307	-0.0623252	-0.0460532	-0.0453481
16212	3.2424	-0.0617224	-0.0604846	-0.0599986	-0.0599972	-0.0581694	-0.06	-0.0786055	-0.062449	-0.0460433	-0.0453552
16213	3.2426	-0.0617078	-0.0604972	-0.0599986	-0.0599972	-0.0581691	-0.06	-0.0783787	-0.0625745	-0.0460333	-0.0453624
16214	3.2428	-0.0616931	-0.06051	-0.0599986	-0.0599972	-0.0581689	-0.06	-0.0781503	-0.0627017	-0.0460231	-0.0453697
16215	3.243	-0.0616782	-0.0605228	-0.0599986	-0.0599972	-0.0581686	-0.06	-0.0779204	-0.0628308	-0.0460128	-0.0453771
16216	3.2432	-0.0616632	-0.0605358	-0.0599986	-0.0599972	-0.0581683	-0.06	-0.0776891	-0.0629616	-0.0460024	-0.0453847
16217	3.2434	-0.0616479	-0.060549	-0.0599986	-0.0599972	-0.058168	-0.06	-0.0774563	-0.0630943	-0.0459919	-0.0453923
