TimeSlice	Time	L Knee ext Ia	L Knee flx Ia	L Knee ext Ia IN	L Knee flx Ia IN	L Knee flx Ib	L Knee ext Ib	L Knee MN ext	L Knee MN flx	L Knee MN ext RE	L Knee MN flx RE
126	0.0252	-0.0601601	-0.0606187	-0.0599987	-0.0599979	-0.059973	-0.0581791	-0.0812174	-0.0971896	-0.055768	-0.0571564
127	0.0254	-0.0601581	-0.0606204	-0.0599987	-0.0599979	-0.0599741	-0.0581769	-0.0810972	-0.0972194	-0.0557398	-0.0571472
128	0.0256	-0.0601561	-0.0606222	-0.0599987	-0.0599979	-0.0599751	-0.0581747	-0.0809772	-0.0972478	-0.0557114	-0.0571377
129	0.0258	-0.0601541	-0.060624	-0.0599987	-0.0599979	-0.0599761	-0.0581727	-0.0808577	-0.097275	-0.0556829	-0.0571281
130	0.026	-0.0601522	-0.0606258	-0.0599987	-0.0599979	-0.059977	-0.0581709	-0.0807385	-0.0973009	-0.0556542	-0.0571183
131	0.0262	-0.0601503	-0.0606276	-0.0599987	-0.0599979	-0.0599779	-0.0581692	-0.0806197	-0.0973257	-0.0556254	-0.0571083
132	0.0264	-0.0601485	-0.0606295	-0.0599987	-0.0599979	-0.0599788	-0.0581676	-0.0805015	-0.0973493	-0.0555966	-0.0570982
133	0.0266	-0.0601466	-0.0606313	-0.0599987	-0.0599979	-0.0599796	-0.058166	-0.0803837	-0.0973717	-0.0555676	-0.057088
134	0.0268	-0.0601449	-0.0606332	-0.0599987	-0.0599979	-0.0599804	-0.0581645	-0.0802666	-0.0973931	-0.0555386	-0.0570776
135	0.027	-0.0601432	-0.0606351	-0.0599987	-0.0599979	-0.0599812	-0.0581633	-0.08015	-0.0974135	-0.0555094	-0.0570671
136	0.0272	-0.0601415	-0.060637	-0.0599987	-0.0599979	-0.0599819	-0.0581622	-0.0800341	-0.0974328	-0.0554803	-0.0570564
137	0.0274	-0.0601399	-0.0606389	-0.0599987	-0.0599979	-0.0599826	-0.0581611	-0.0799188	-0.0974512	-0.055451	-0.0570456
138	0.0276	-0.0601383	-0.0606408	-0.0599987	-0.0599979	-0.0599833	-0.05816	-0.0798042	-0.0974687	-0.0554217	-0.0570346
139	0.0278	-0.0601367	-0.0606428	-0.0599987	-0.0599979	-0.059984	-0.058159	-0.0796904	-0.0974852	-0.0553924	-0.0570236
