TimeSlice	Time	L Hip MN ext	L Hip MN flx	L Hip PF flx	L Hip PF ext	L RG ext	L RG flx
2764	0.5528	-0.0509045	-0.0916915	-0.060718	-0.0574107	-0.0578216	-0.062589
2765	0.553	-0.050921	-0.0916613	-0.0607151	-0.0574129	-0.057822	-0.0625877
2766	0.5532	-0.0509375	-0.0916308	-0.0607122	-0.057415	-0.0578223	-0.0625863
2767	0.5534	-0.0509539	-0.0916003	-0.0607094	-0.0574172	-0.0578226	-0.0625849
2768	0.5536	-0.0509703	-0.0915698	-0.0607065	-0.0574194	-0.057823	-0.0625836
2769	0.5538	-0.0509866	-0.0915393	-0.0607036	-0.0574215	-0.0578233	-0.0625822
2770	0.554	-0.0510028	-0.091509	-0.0607008	-0.0574237	-0.0578236	-0.0625809
2771	0.5542	-0.051019	-0.0914785	-0.060698	-0.0574258	-0.057824	-0.0625795
2772	0.5544	-0.0510351	-0.091448	-0.0606951	-0.0574279	-0.0578243	-0.0625782
2773	0.5546	-0.0510511	-0.0914174	-0.0606923	-0.05743	-0.0578246	-0.0625769
2774	0.5548	-0.0510671	-0.091387	-0.0606895	-0.0574321	-0.0578249	-0.0625755
2775	0.555	-0.051083	-0.0913567	-0.0606867	-0.0574342	-0.0578253	-0.0625742
2776	0.5552	-0.0510989	-0.0913262	-0.0606839	-0.0574363	-0.0578256	-0.0625729
2777	0.5554	-0.0511147	-0.0912957	-0.0606811	-0.0574383	-0.0578259	-0.0625716
2778	0.5556	-0.0511305	-0.0912651	-0.0606784	-0.0574404	-0.0578263	-0.0625703
