TimeSlice	Time	R Hip ext Ia	R Hip flx Ia	R Hip ext Ia IN	R Hip flx Ia IN	R Hip flx Ib	R Hip ext Ib	R Hip MN flx	R Hip MN ext	R Hip MN ext RE	R Hip MN flx RE
105	0.021	-0.0579616	-0.058072	-0.0574915	-0.0574915	-0.0548202	-0.0593616	-0.0793098	-0.0957566	-0.0573768	-0.0559478
106	0.0212	-0.0579561	-0.0580639	-0.0574879	-0.0574879	-0.0548625	-0.0593852	-0.0792499	-0.0958251	-0.0573725	-0.0559244
107	0.0214	-0.0579508	-0.0580558	-0.0574844	-0.0574844	-0.0549032	-0.0594077	-0.0791899	-0.0958926	-0.0573679	-0.0559008
108	0.0216	-0.0579457	-0.0580478	-0.0574812	-0.0574812	-0.0549422	-0.0594294	-0.0791295	-0.0959589	-0.0573629	-0.0558771
109	0.0218	-0.0579408	-0.0580397	-0.057478	-0.057478	-0.0549797	-0.0594503	-0.0790687	-0.0960241	-0.0573577	-0.0558531
110	0.022	-0.0579361	-0.0580317	-0.0574746	-0.0574746	-0.0550229	-0.0594719	-0.0790072	-0.0960881	-0.0573522	-0.0558289
111	0.0222	-0.0579316	-0.0580238	-0.0574714	-0.0574714	-0.0550643	-0.0594926	-0.0789459	-0.096151	-0.0573464	-0.0558046
112	0.0224	-0.0579273	-0.0580158	-0.0574683	-0.0574683	-0.0551041	-0.0595125	-0.0788846	-0.0962128	-0.0573404	-0.0557801
113	0.0226	-0.0579232	-0.058008	-0.0574653	-0.0574653	-0.0551424	-0.0595316	-0.0788232	-0.0962735	-0.0573341	-0.0557554
114	0.0228	-0.0579193	-0.0580001	-0.0574624	-0.0574624	-0.0551792	-0.0595499	-0.0787615	-0.096333	-0.0573276	-0.0557306
115	0.023	-0.0579155	-0.0579924	-0.0574593	-0.0574593	-0.0552205	-0.0595676	-0.0786994	-0.0963913	-0.0573209	-0.0557057
116	0.0232	-0.057912	-0.0579847	-0.0574564	-0.0574564	-0.0552603	-0.0595845	-0.0786375	-0.0964483	-0.0573139	-0.0556807
117	0.0234	-0.0579086	-0.057977	-0.0574536	-0.0574536	-0.0552984	-0.0596008	-0.0785757	-0.0965042	-0.0573068	-0.0556555
118	0.0236	-0.0579054	-0.0579694	-0.0574508	-0.0574508	-0.0553351	-0.0596165	-0.0785139	-0.0965588	-0.0572994	-0.0556303
119	0.0238	-0.0579024	-0.0579619	-0.0574482	-0.0574482	-0.0553704	-0.0596315	-0.0784518	-0.0966121	-0.0572918	-0.0556049
120	0.024	-0.0578995	-0.0579544	-0.0574454	-0.0574454	-0.0554093	-0.059646	-0.0783895	-0.0966642	-0.057284	-0.0555795
121	0.0242	-0.0578969	-0.0579471	-0.0574427	-0.0574427	-0.0554466	-0.0596599	-0.0783274	-0.0967149	-0.057276	-0.055554
122	0.0244	-0.0578943	-0.0579398	-0.0574401	-0.0574401	-0.0554825	-0.0596732	-0.0782653	-0.0967645	-0.0572679	-0.0555284
123	0.0246	-0.057892	-0.0579326	-0.0574377	-0.0574377	-0.055517	-0.059686	-0.0782033	-0.0968127	-0.0572595	-0.0555028
124	0.0248	-0.0578897	-0.0579254	-0.0574353	-0.0574353	-0.0555501	-0.0596983	-0.0781411	-0.0968597	-0.057251	-0.0554771
125	0.025	-0.0578877	-0.0579184	-0.0574327	-0.0574327	-0.0555861	-0.0597101	-0.0780787	-0.0969054	-0.0572423	-0.0554514
126	0.0252	-0.0578858	-0.0579114	-0.0574302	-0.0574302	-0.0556206	-0.0597215	-0.0780164	-0.0969499	-0.0572334	-0.0554256
127	0.0254	-0.057884	-0.0579045	-0.0574279	-0.0574279	-0.0556537	-0.0597324	-0.0779542	-0.0969931	-0.0572244	-0.0553998
128	0.0256	-0.0578823	-0.0578977	-0.0574256	-0.0574256	-0.0556855	-0.0597429	-0.077892	-0.0970351	-0.0572152	-0.0553739
129	0.0258	-0.0578809	-0.057891	-0.0574234	-0.0574234	-0.0557161	-0.059753	-0.0778296	-0.0970759	-0.0572059	-0.055348
130	0.026	-0.0578795	-0.0578844	-0.0574211	-0.0574211	-0.0557487	-0.0597627	-0.077767	-0.0971155	-0.0571964	-0.0553221
131	0.0262	-0.0578783	-0.0578778	-0.0574188	-0.0574188	-0.05578	-0.059772	-0.0777045	-0.0971539	-0.0571867	-0.0552962
132	0.0264	-0.0578772	-0.0578714	-0.0574167	-0.0574167	-0.0558101	-0.0597809	-0.077642	-0.0971911	-0.0571769	-0.0552703
133	0.0266	-0.0578762	-0.057865	-0.0574146	-0.0574146	-0.0558389	-0.0597895	-0.0775795	-0.0972271	-0.057167	-0.0552443
