source	target	weight
W312955849	W1555716241	1
W312955849	W2042314925	1
W312955849	W2093435740	1
W312955849	W2135268036	1
W2488165213	W170956600	1
W2488165213	W1512811199	1
W2488165213	W1758809234	1
W2488165213	W1895590810	1
W2488165213	W1966178566	1
W2488165213	W1970087762	1
W2488165213	W1973862785	1
W2488165213	W1974859321	1
W2488165213	W1975183367	1
W2488165213	W1979766464	1
W2488165213	W2001556607	1
W2488165213	W2006008614	1
W2488165213	W2017516920	1
W2488165213	W2018959254	1
W2488165213	W2037428536	1
W2488165213	W2045391660	1
W2488165213	W2048690171	1
W2488165213	W2052812788	1
W2488165213	W2064257383	1
W2488165213	W2076879580	1
W2488165213	W2077739433	1
W2488165213	W2082605003	1
W2488165213	W2086155025	1
W2488165213	W2086265687	1
W2488165213	W2092114155	1
W2488165213	W2106064561	1
W2488165213	W2109481218	1
W2488165213	W2110198466	1
W2488165213	W2113386433	1
W2488165213	W2117553976	1
W2488165213	W2127735752	1
W2488165213	W2137825350	1
W2488165213	W2141290457	1
W2488165213	W2143314240	1
W2488165213	W2143869343	1
W2488165213	W2149784701	1
W2488165213	W2155180319	1
W2488165213	W2159240874	1
W2488165213	W2162304282	1
W2488165213	W2168307960	1
W2488165213	W2169109050	1
W2488165213	W2466671176	1
W2488165213	W4248489947	1
W2397793654	W1512811199	1
W2397793654	W1969232476	1
W2397793654	W2018959254	1
W2397793654	W2033226680	1
W2397793654	W2037050168	1
W2397793654	W2045391660	1
W2397793654	W2061227856	1
W2397793654	W2086155025	1
W2397793654	W2086265687	1
W2397793654	W2086692441	1
W2397793654	W2091280544	1
W2397793654	W2092114155	1
W2397793654	W2098906827	1
W2397793654	W2106518363	1
W2397793654	W2108315391	1
W2397793654	W2115866269	1
W2397793654	W2126918678	1
W2397793654	W2127110152	1
W2397793654	W2140497618	1
W2397793654	W2143289029	1
W2397793654	W2143314240	1
W2397793654	W2149784701	1
W2397793654	W2155180319	1
W2397793654	W2399420755	1
W2397793654	W2478562489	1
W2734605370	W1428038289	1
W1475996878	W2734605370	1
W2734605370	W1973434807	1
W2734605370	W1988407123	1
W2734605370	W2042314925	1
W2734605370	W2070838887	1
W2734605370	W2093435740	1
W2734605370	W2109218006	1
W2734605370	W2216509810	1
W2734605370	W2590435556	1
W1475996878	W2851940109	1
W2851940109	W1549313501	1
W2851940109	W2052210110	1
W2851940109	W2064257383	1
W2851940109	W2076879580	1
W2851940109	W2080030366	1
W2851940109	W2091280544	1
W2851940109	W2093435740	1
W2851940109	W2103103180	1
W2851940109	W2115866269	1
W2851940109	W2140497618	1
W2851940109	W2143314240	1
W2851940109	W2149784701	1
W2851940109	W2439130931	1
W2851940109	W2590435556	1
W2851940109	W2604433691	1
W3115364503	W2093435740	1
W3115364503	W2150447451	1
W3115364503	W2743573280	1
W3115906145	W1428038289	1
W3115906145	W1549313501	1
W3115906145	W2025842514	1
W3115906145	W2169109050	1
W3115906145	W2563573812	1
W3115906145	W2590435556	1
W3115906145	W2740660358	1
W3115906145	W2743573280	1
W1197285566	W1675839706	1
W1197285566	W1975579640	1
W1197285566	W1978862241	1
W1197285566	W1979766464	1
W1197285566	W1980143518	1
W1197285566	W2018959254	1
W1197285566	W2025947382	1
W1197285566	W2029036884	1
W1197285566	W2029644817	1
W1197285566	W2045391660	1
W1197285566	W2052812788	1
W1197285566	W2060807766	1
W1197285566	W2068467384	1
W1197285566	W2069610894	1
W1197285566	W2074071999	1
W1197285566	W2075299328	1
W1197285566	W2077739433	1
W1197285566	W2078807031	1
W1197285566	W2115682148	1
W1197285566	W2119133891	1
W1197285566	W2126918678	1
W1197285566	W2141290457	1
W1197285566	W2147690681	1
W1197285566	W2155213171	1
W1197285566	W2159240874	1
W1197285566	W2169109050	1
W1197285566	W2409197843	1
W4211214843	W1512811199	1
W4211214843	W1559505189	1
W4211214843	W1675839706	1
W4211214843	W1814966798	1
W4211214843	W1964382389	1
W4211214843	W1971990035	1
W4211214843	W1978862241	1
W4211214843	W1980143518	1
W4211214843	W1981030777	1
W4211214843	W1995488673	1
W4211214843	W2001556607	1
W4211214843	W2004675537	1
W4211214843	W2037428536	1
W4211214843	W2045391660	1
W4211214843	W2060807766	1
W4211214843	W2061641821	1
W4211214843	W2069308336	1
