id	label	doi	year	first_author	weight	x	y	cluster	source
W2102727091	Depression of muscle and cutaneous afferent-evoked monosynaptic field potentials during fictive locomotion in the cat.	10.1111/j.1469-7793.1999.00691.x	1999	Perreault	56	0.498294	0.502982	3	rest383
W2265506824	Towards Autonomous MAV Soaring in Cities: CFD Simulation, EFD Measurement and Flight Trials	10.1260/1756-8293.7.4.441	2015	Watkins	34	0.665405	0.366792	12	task5import
W2113012829	Pontine reticulospinal projections in the neonatal mouse: Internal organization and axon trajectories.	10.1002/cne.23904	2016	Sivertsen	16	0.494273	0.499550	2	rest383
W1982580850	The flexion synergy, mother of all synergies and father of new models of gait	10.3389/fncom.2013.00014	2013	Duysens	89	0.502636	0.503789	2	rest383
W2078246783	Tetraspine: Robust terrain handling on a tensegrity robot using central pattern generators	10.1109/aim.2013.6584102	2013	Tietz	72	0.508616	0.499477	1	task5import
W2150447451	A Generalized Linear Integrate-and-Fire Neural Model Produces Diverse Spiking Behaviors	10.1162/neco.2008.12-07-680	2009	Mihalaş	164	0.515515	0.497122	1	task5import
W1582515334	A Musculoskeletal Flexible-Spine Humanoid Kotaro Aiming at the Future in 15 Years Time	10.5772/4684	2006	Mizuuchi	11	0.157417	0.864343		task5import
W2115393730	A unified view of quiet and perturbed stance: simultaneous co-existing excitable modes	10.1016/j.neulet.2004.11.071	2005	Creath	295	0.514305	0.518652	5	task5import
W1512811199	Load-regulating mechanisms in gait and posture: Comparative aspects.	10.1152/physrev.2000.80.1.83	2000	Duysens	554	0.503346	0.505822	3	originals99
W2169109050	Dynamic Sensorimotor Interactions in Locomotion	10.1152/physrev.00028.2005	2006	Rossignol	1115	0.500997	0.503682	3	rest383
W3174821923	Common and distinct muscle synergies during level and slope locomotion in the cat.	10.1152/jn.00310.2020	2021	Klishko	30	0.501636	0.504199	4	rest383
W1503945108	Intrinsic function of a neuronal network — a vertebrate central pattern generator	10.1016/s0165-0173(98)00002-2	1998	Grillner	241	0.499793	0.495512	2	task5import
W1556563059	Toward Mission Capable Legged Robots through Biological Inspiration	10.1023/a:1012478704769	2001	Quinn	18	0.516702	0.503870	1	rest383
W2534240011	Reynolds averaged turbulence modelling using deep neural networks with embedded invariance	10.1017/jfm.2016.615	2016	Ling	1655	0.703579	0.422939	13	task5import
W2950247581	Red muscle activity in bluegill sunfish Lepomis macrochirus during forward accelerations	10.1038/s41598-019-44409-7	2019	Schwalbe	19	0.335617	0.388339	9	task5import
W2138330408	Segmental patterns of vestibular-mediated synaptic inputs to axial and limb motoneurons in the neonatal mouse assessed b	10.1113/jphysiol.2010.195644	2010	Kasumacic	51	0.491948	0.497153	2	demo50
W1576838367	Dynamical Systems in Neuroscience: The Geometry of Excitability and Bursting	10.7551/mitpress/2526.001.0001	2006	Izhikevich	3878	0.509182	0.494921	6	task5import
W2790085575	Neuromodulation of the Spinal Cord for Movement Restoration	10.1016/b978-0-12-805353-9.00098-x	2018	Harkema	2	0.499017	0.505057	7	rest383
W2013822558	An ontogenetic model for the sensorimotor organization of balance control in humans	10.1016/0167-9457(94)00048-j	1995	Assaiante	255	0.514154	0.511217	5	task5import
W7162105292	Speed-dependent turning strategies in quadrupedal locomotion: insights from computational modeling	10.3389/fbioe.2026.1787167	2026	Molkov	0	0.502700	0.498381	2	task5import
W2109481218	Contribution of sensory feedback to ongoing ankle extensor activity during the stance phase of walking	10.1139/y04-043	2004	Donelan	92	0.502552	0.505550	3	rest383
