"key","type","title","DOI","date","pub"
"RGJPS3NM","journalArticle","Contribution of peripheral afferents to the activation of the soleus muscle during walking in humans.","10.1007/bf00227094","1991-01-01","Experimental Brain Research"
"CU7WS5GD","journalArticle","Motor Systems","10.1007/978-3-030-41878-6_9","2020-01-01",
"U4KVP3VD","journalArticle","Ankleextensor groupIafferents excite extensors throughout thehindlimb during fictive locomotion inthecat","","2011-01-01",
"86B232MR","journalArticle","Control of reflex reversal in stick insect walking: effects of intersegmental signals, changes in direction, and optomotor-induced turning","10.1152/jn.00718.2011","2012-01-01","Journal of Neurophysiology"
"QAV6825C","journalArticle","Short latency, non-reciprocal group I inhibition is reduced during the stance phase of walking in humans.","10.1016/s0006-8993(96)00977-8","1996-12-16","Brain Research"
"RWAYBADP","journalArticle","Prosthetic, orthotic or exoskeleton device","","2013-06-12",
"HDJEFTXZ","journalArticle","Taking the next step: cortical contributions to the control of locomotion","10.1016/j.conb.2015.01.011","2015-08-01","Current Opinion in Neurobiology"
"53AKZJU8","journalArticle","Neural control of locomotion: sensory control of the central pattern generator and its relation to treadmill training","10.1016/s0966-6362(98)00010-1","1998-05-01","Gait & Posture"
"XE7WCYJK","journalArticle","Evidence for a Spinal Central Pattern Generator in Humansa","10.1111/j.1749-6632.1998.tb09062.x","1998-11-01","Annals of the New York Academy of Sciences"
"A3PE6K2C","journalArticle","Distinguishing subtypes of spinal locomotor neurons to inform circuit function and dysfunction","10.1016/j.conb.2023.102763","2023-10-01",
"SJQECRPF","journalArticle","Contribution of hind limb flexor muscle afferents to the timing of phase transitions in the cat step cycle","10.1152/jn.1996.75.3.1126","1996-03-01","Journal of Neurophysiology"
"9MRTHK72","journalArticle","Kinematic and Kinetic Analysis of a Biomechanical Model of Rat Hind Limb with Biarticular Muscles","10.1007/978-3-030-64313-3_7","2020",
"Z3CWS2MG","journalArticle","Control of a hexapod robot using a biologically inspired neural network","","1993-01-02",
"Y5PNF265","journalArticle","Mechanics of slope walking in the cat: quantification of muscle load, length change, and ankle extensor EMG patterns.","10.1152/jn.01300.2004","2006-03-01","Journal of Neurophysiology"
"RZG2ZGFH","journalArticle","Circuits for Grasping: Spinal dI3 Interneurons Mediate Cutaneous Control of Motor Behavior","10.1016/j.neuron.2013.02.007","2013-04-10","Neuron"
"TILK8WZU","journalArticle","Biorobotic approaches to the study of motor systems","10.1016/s0959-4388(98)80121-9","1998-12-01","Current Opinion in Neurobiology"
"7DBHF2G7","journalArticle","Motor antagonism exposed by spatial segregation and timing of neurogenesis","10.1038/nature10538","2011-11-03","Nature"
"98M34WNW","journalArticle","Group I disynaptic excitation of cat hindlimb flexor and bifunctional motoneurones during fictive locomotion.","10.1111/j.1469-7793.2000.t01-1-00549.x","2000-06-01","The Journal of Physiology"
"QRBL6JBJ","journalArticle","From neuron to behavior: dynamic equation-based prediction of biological processes in motor control","10.1007/s00422-011-0446-6","2011-07-01","Biological Cybernetics"
"JEIQTLZJ","journalArticle","Functional identification of interneurons responsible for left-right coordination of hindlimbs in mammals.","10.1016/s0896-6273(03)00353-2","2003-06-19","Neuron"
"VLN2GC77","journalArticle","Functionally complex muscles of the cat hindlimb. I. Patterns of activation across sartorius.","10.1007/bf00229406","1991-01-01","Experimental Brain Research"
"G4EK7TTD","journalArticle","Functional subpopulations of V3 interneurons in the mature mouse spinal cord.","10.1523/jneurosci.2005-13.2013","2013-11-20","The Journal of Neuroscience"
