"id","title","match","zotero_key","DOI","flag"
"recXa5IYgA1M55Wii","Using animal data and neural dynamics to reverse engineer a neuromechanical rat model","strict","4TKK3VFS","10.1007/978-3-319-22979-9_21",""
"recaEiW1fv8QTlWkz","A model of scale effects in mammalian quadrupedal running","strict","F8VY9WMT","",""
"recb1Jn0d5PIm6gpk","Decoding the mechanisms of gait generation in salamanders by combining neurobiology, modeling and robotics","strict","HJXF4BCU","10.1007/s00422-012-0543-1",""
"recdEuThwTVOEdcwz","Ankle extensor group I afferents excite extensors throughout the hindlimb during fictive locomotion in the cat.","strict","J347PRR7","10.1113/jphysiol.1995.sp020871",""
"recdSXsgiaZQQGIQ5","Force feedback reinforces muscle synergies in insect legs","none","","",""
"recdWB4Bh9FKPEHYK","Neuromechanical Simulation of an inter-leg controller for tetrapod coordination","strict","UVF3CP9T","10.1007/978-3-319-09435-9_13",""
"rece0GWaNeVWzC8pG","A Muscle-Reflex Model That Encodes Principles of Legged Mechanics Produces Human Walking Dynamics and Muscle Activities","strict","JPHHF8XP","10.1109/TNSRE.2010.2047592",""
"receWDFQyRMe7UvvZ","Resonance tuning in a neuro-musculo-skeletal model of the forearm","strict","5PC5PQBR","10.1007/s00422-006-0112-6",""
"receqsanpBJrR4x5v","New Moves in Motor Control","strict","TV4WQU3X","10.1016/j.cub.2011.05.029",""
"recf6gvkwsPmIHY3N","AnimatLab: A 3D graphics environment for neuromechanical simulations","strict","X6WHYDNF","10.1016/j.jneumeth.2010.01.005",""
"recfCLJpSnraphHug","Modeling the mammalian locomotor CPG: insights from mistakes and perturbations","strict","UBNGALD4","10.1016/S0079-6123(06)65015-2",""
"recfRnmXD28Ogkq4e","Control of Mammalian Locomotion by Somatosensory Feedback","strict","43FIWMFJ","10.1002/cphy.c210020",""
"recfiz9tzgn955QdA","Contribution of Hind Limb Flexor Muscle","adjudicated","FIN3YLAZ","10.1152/jn.1996.75.3.1126",""
"recgNahYOEnT2yzYE","Proprioceptive modulation of hip flexor activity during the swing phase of locomotion in decerebrate cats.","strict","UG24YCQW","10.1152/jn.2001.86.3.1321",""
"recgWW7JlRJMm851a","The construction of movement by the spinal cord","strict","29CTRI2X","10.1038/5721",""
