"key","parent","linkMode","filename","contentType"
"QBRJSIA4","IGRGYIKD","imported_url","S095943880900124X.html","text/html"
"5PL42RPZ","JNUHXBLI","imported_url","Hunt - 2016 - Neurologically Based Control for Quadruped Walking.pdf","application/pdf"
"W3UL4LL4","JNUHXBLI","imported_url","pg_10.html","text/html"
"KIJV4SF8","KJ9JQQYT","imported_url","6225149.html","text/html"
"V83Q8SQH","KJ9JQQYT","imported_url","Klein and Lewis - 2012 - A neurorobotic model of bipedal locomotion based o.pdf","application/pdf"
"9NBT8F3A","4SJYKPPA","imported_url","6225307.html","text/html"
"PG92AUBL","4SJYKPPA","imported_url","Song and Geyer - 2012 - Regulating speed and generating large speed transi.pdf","application/pdf"
"BWZLA9SG","GDL24Q3Q","imported_url","Shevtsova and Rybak - 2016 - Organization of flexor-extensor interactions in th.pdf","application/pdf"
"ZMTYDTM3","S46SYNVM","imported_url","Hunt et al. - 2015 - Using Animal Data and Neural Dynamics to Reverse E.pdf","application/pdf"
"3JEIHREV","GY9MSKNF","imported_url","Zhang et al. - 2014 - V1 and V2b Interneurons Secure the Alternating Fle.pdf","application/pdf"
"2LF8WH36","YYIJCQRS","imported_file","Winiarski et al. - 2019 - Three-Dimensional Human Gait Pattern Reference Da.pdf","application/pdf"
"FGLTFVDK","BDD2MAWC","imported_file","Kadaba et al. - 1990 - Measurement of lower extremity kinematics during l.pdf","application/pdf"
"I9AFZADC","DN5E7SJX","linked_url",,"text/html"
"M5M85P5C","DN5E7SJX","imported_url","Markin et al. - 2016 - A Neuromechanical Model of Spinal Control of Locom.pdf","application/pdf"
"MA6BHY7G","DN5E7SJX","imported_file","Markin et al. - 2016 - A Neuromechanical Model of Spinal Control of Locom.pdf","application/pdf"
"7IPB9US2","DN5E7SJX","imported_file","Markin et al. - 2016 - A Neuromechanical Model of Spinal Control of Locom.pdf","application/pdf"
"X8N6MAML","DN5E7SJX","imported_url","991019167824704721.html","text/html"
"TFHAD2C9","DN5E7SJX","imported_url","978-1-4939-3267-2_2.html","text/html"
"NGNFPF7A","ASUN3QX9","imported_file","Shevtsova et al. - 2016 - Modeling the Organization of Spinal Cord Neural Ci.pdf","application/pdf"
"5UME3J7X","6WBS8NA5","imported_file","Yamane and Murai - 2018 - A Comparative Study Between Humans and Humanoid Robots.pdf","application/pdf"
"62TY7WJI","WUUNHJ4G","imported_url","1.html","text/html"
"CXCKIBRM","INRZWCMH","imported_url","Sartori et al. - 2017 - In Vivo Neuromechanics Decoding Causal Motor Neuron Behavior with Resulting Musculoskeletal Functio.pdf","application/pdf"
"HPTKP4QK","IZ7WQGPE","imported_url","Chen et al. - 2026 - Automated Muscle Path Calibration With Gradient-Specified Optimization Based on Moment Arm.pdf","application/pdf"
"QIC6VMCN","B7XP4V3N","imported_url","Prasad et al. - 2022 - A Framework for Determining the Performance and Requirements of Cable-Driven Mobile Lower Limb Rehab.pdf","application/pdf"
"Y3FU8QMK","88L7NYNK","imported_url","1.html","text/html"
"F5HZ7BFZ","S79YCQTR","imported_url","Koehle and Hull - 2008 - A method of calculating physiologically relevant joint reaction forces during forward dynamic simula.pdf","application/pdf"
"L5LG6UZR","V7P9XICM","imported_url","Zajac et al. - Biomechanics and muscle coordination of human walking Part I Introduction to concepts, power transf.pdf","application/pdf"
"7R6UHA5B","QVXASC2S","imported_file","Gill and O'Connor - 1996 - Biarticulating two-dimensional computer model of the human patellofemoral joint.pdf","application/pdf"
"UV9VYU9H","QVXASC2S","imported_url","0268003395000216.html","text/html"
"IKPQMRG6","WWC5R4QW","imported_file","Imran et al. - 2000 - The variation in the orientations and moment arms of the knee extensor and flexor muscle tendons wit.pdf","application/pdf"
"XIIYB5T8","KEF5J4D8","imported_url","Bolen et al. - 2026 - Isometric Force Characterization of Braided Pneumatic Actuators.pdf","application/pdf"
"IRGCIX2F","KEF5J4D8","imported_url","Bolen et al. - 2026 - Isometric Force Characterization of Braided Pneumatic Actuators.pdf","application/pdf"
"NA2DEH8I","LUUS3PR4","imported_url","S0021929001002226.html","text/html"
"VVUVTATF","LUUS3PR4","imported_file","Wu et al. - 2002 - ISB recommendation on definitions of joint coordin.pdf","application/pdf"
"YD9253YH","YTSVLUJC","imported_url","S002192900400301X.html","text/html"
"5JBCJPJ2","YTSVLUJC","imported_file","Wu et al. - 2005 - ISB recommendation on definitions of joint coordin.pdf","application/pdf"
"3VJPTEKS","EBCYNQ8L","imported_url","S0021929019307870.html","text/html"
"94JUL49Z","EBCYNQ8L","imported_url","Derrick et al. - 2020 - ISB recommendations on the reporting of intersegme.pdf","application/pdf"
"DCTB98BB","B3L88UM6","imported_file","Delp et al. - 2007 - OpenSim Open-Source Software to Create and Analyz.pdf","application/pdf"
"5BBKU5ND","G83XMKDB","imported_file","Wu and Cavanagh - FOR STANDARDIZATION IN THE REPORTING OF KINEMATIC .pdf","application/pdf"
"6EIK7PLZ","5RXI4MTV","imported_file","LM202_poster.pptx","application/pdf"
"BPE63S27","5RXI4MTV","imported_file","Morrow et al. - 2020 - Optimization of Artiﬁcial Muscle Placements for a .pdf","application/pdf"
"Y3VRP59U","HTR6VJ2N","imported_file","Steele et al. - 2018 - Biomimetic Knee Design to Improve Joint Torque and.pdf","application/pdf"
"SJYMJ6MY","36CYWD8A","imported_url","Young et al. - 2019 - Analyzing Moment Arm Profiles in a Full-Muscle Rat.pdf","application/pdf"
"JXIX2GC4","36CYWD8A","imported_url","10.html","text/html"
"PD8D3CZJ","36CYWD8A","imported_url","Young et al. - 2019 - Analyzing Moment Arm Profiles in a Full-Muscle Rat.pdf","application/pdf"
"ZGK24JVP","QYAQZR7A","imported_file","Steele - Biomimetic Design and Construction of a Bipedal Wa.pdf","application/pdf"
"SJ3VLKGE","TCARFM3I","imported_url","Goldsmith et al. - 2021 - Investigating the role of low level reinforcement .pdf","application/pdf"
"AP8BKACQ","BFY5B79Z","imported_url","Aksöz et al. - 2019 - Design of an isokinetic knee dynamometer for evalu.pdf","application/pdf"
"3DPMLAA5","BFY5B79Z","linked_url",,""
"NZANI6PS","M5DH4UWN","imported_file","Suderman and Vasavada - 2012 - Moving muscle points provide accurate curved muscl.pdf","application/pdf"
"A2UMY4SH","REGSEJ9H","linked_url",,""
