"zotero_key","title","author","year","DOI"
"74B83GN8","Neuronal Control of Locomotion 'From Mollusc to Man '","Orlovski─¡ et al.","1999",""
"CXC3BT59","Activity of bifunctional motoneurons during fictive locomotion: a computational modeling study","Hamade","2010",""
"3R757SJS","Sensory Feedback in the Control of Posture and Locomotion","Edwards and Prilutsky","2017","10.1002/9781118873397.ch9"
"XYJD8M3Q","Crossed activation of thoracic trunk motoneurons by medullary reticulospinal neurons.","LaPallo et al.","2019","10.1152/jn.00194.2019"
"C7ZXYEER","Neural control of rhythmic limb motion is shaped by size and speed","Sutton et al.","2021","10.21203/rs.3.rs-153297/v1"
"GHN7UVS9","Epidural spinal cord stimulation as an intervention for motor recovery after motor complete spinal cord injury.","Hachmann et al.","2021","10.1152/jn.00020.2021"
"A836XRWG","A genetically defined asymmetry underlies the inhibitory control of flexorΓÇôextensor locomotor movements","Britz et al.","2015","10.7554/elife.04718"
"9WF4U6K6","The Motor Infrastructure: From Ion Channels to Neuronal Networks","Grillner","2003","10.1038/nrn1137"
"8FJL4D66","Patterns of locomotor drive to motoneurons and last-order interneurons: clues to the structure of the CPG.","Burke et al.","2001","10.1152/jn.2001.86.1.447"
"T49RHM58","Disynaptic group I excitation of synergist ankle extensor motoneurones during fictive locomotion in the cat.","McCrea et al.","1995","10.1113/jphysiol.1995.sp020897"
"DL3YQSCA","Variable-mechanical-impedance artificial legs","Herr","2015",""
"9TK8LDMG","Modulation of ipsi- and contralateral reflex responses in unrestrained walking cats","Duysens and Loeb","1980","10.1152/jn.1980.44.5.1024"
"LV4IQLVG","Investigating the role of low level reinforcement reflex loops in insect locomotion.","Goldsmith et al.","2021","10.1088/1748-3190/ac28ea"
"99DQ5M4Z","A walking robot called human: lessons to be learned from neural control of locomotion.","Duysens et al.","2002","10.1016/s0021-9290(01)00187-7"
"S9M6ARAL","The Effect of DOPA on the Spinal Cord 6. HalfΓÇÉcentre organization of interneurones transmitting effects from the flexor reflex afferents","Jankowska et al.","1967","10.1111/j.1748-1716.1967.tb03637.x"
"7VNAVH32","Recent Insights into the Rhythmogenic Core of the Locomotor CPG.","Ran─ìi─ç et al.","2021","10.3390/ijms22031394"
"ZX7PHMHY","Neuromuscular Model-Based Sensing And Control Paradigm For A Robotic Leg","Herr et al.","2013",""
"E478PSQT","Design process and tools for dynamic neuromechanical models and robot controllers","Szczecinski et al.","2017","10.1007/s00422-017-0711-4"
"ZJK8IIDQ","Mid-Lumbar Segments Are Needed for the Expression of Locomotion in Chronic Spinal Cats","Langlet et al.","2005","10.1152/jn.00909.2004"
"5CQTDVTA","The Cat Model of Spinal Cord Injury","Frigon","2013","10.1007/978-1-62703-197-4_8"
"98PKWYHV","Cutaneous inputs from perineal region facilitate spinal locomotor activity and modulate cutaneous reflexes from the foot in spinal cats.","Merlet et al.","2021","10.1002/jnr.24791"
"K4X7AYCE","Common and distinct muscle synergies during level and slope locomotion in the cat.","Klishko et al.","2021","10.1152/jn.00310.2020"
"H37LQZBS","Effects of ankle and hip muscle afferent inputs on rhythm generation during fictive locomotion.","Frigon et al.","2010","10.1152/jn.01028.2009"
"7VYUAIJE","Signals from load sensors underlie interjoint coordination during stepping movements of the stick insect leg.","Akay et al.","2004","10.1152/jn.01271.2003"
"MKS3BUPU","Muscle proprioceptors in adult rat: mechanosensory signaling and synapse distribution in spinal cord","Vincent et al.","2017","10.1152/jn.00497.2017"
"NXXH5XDX","Proprioceptive Feedback and Movement Regulation","Proch├ízka and Prochazka","2011","10.1002/cphy.cp120103"
"NTWI3UJ3","Control of Locomotion in Bipeds, Tetrapods, and Fish","Grillner","2011","10.1002/cphy.cp010226"
"Y3QP9TZJ","Locomotor pattern generation and descending control: a historical perspective","Dubuc et al.","2023","10.1152/jn.00204.2023"
"UYQ3ELDI","The possibility of phase-dependent monosynaptic and polysynaptic la excitation to homonymous motoneurones during fictive locomotion","Schomburg and Behrends","1978","10.1016/0006-8993(78)90363-3"
"FVXGQF6Y","Simulated Neural Dynamics Produces Adaptive Stepping and Stable Transitions in a Robotic Leg","Klein et al.","2014","10.1007/978-3-319-09435-9_15"
"NWD7875S","Group I extensor afferents evoke disynaptic EPSPs in cat hindlimb extensor motorneurones during fictive locomotion.","Angel et al.","1996","10.1113/jphysiol.1996.sp021538"
"WTJMWQID","Activation of groups of excitatory neurons in the mammalian spinal cord or hindbrain evokes locomotion","H├ñgglund et al.","2010","10.1038/nn.2482"
