TimeSlice	Time	L RG ext IN	L RG flx IN	L RG ext	L RG flx	R RG ext IN	R RG flx IN	R RG ext	R RG flx	L c1	R c1	L V3	R V3
116	0.0232	-0.0574993	-0.059951	-0.0591378	-0.0626275	-0.0595294	-0.0589641	-0.0607207	-0.0597874	-0.059951	-0.0589641	-0.0575166	-0.0599167
117	0.0234	-0.0575505	-0.0599529	-0.0591513	-0.0625737	-0.0595383	-0.0589923	-0.0606901	-0.059783	-0.0599529	-0.0589923	-0.0575674	-0.05992
118	0.0236	-0.0576003	-0.0599548	-0.0591639	-0.0625202	-0.0595471	-0.0590191	-0.0606598	-0.0597782	-0.0599548	-0.0590191	-0.0576168	-0.0599231
119	0.0238	-0.0576488	-0.0599565	-0.0591758	-0.0624671	-0.0595557	-0.0590446	-0.0606299	-0.059773	-0.0599565	-0.0590446	-0.0576648	-0.0599261
120	0.024	-0.0576958	-0.0599582	-0.0591869	-0.0624144	-0.0595642	-0.0590687	-0.0606004	-0.0597674	-0.0599582	-0.0590687	-0.0577115	-0.059929
121	0.0242	-0.0577416	-0.0599599	-0.0591973	-0.0623621	-0.0595725	-0.0590916	-0.0605712	-0.0597616	-0.0599599	-0.0590916	-0.0577568	-0.0599318
122	0.0244	-0.057786	-0.0599614	-0.0592069	-0.0623103	-0.0595807	-0.0591132	-0.0605425	-0.0597554	-0.0599614	-0.0591132	-0.0578008	-0.0599345
123	0.0246	-0.0578291	-0.059963	-0.0592159	-0.062259	-0.0595887	-0.0591335	-0.0605141	-0.059749	-0.059963	-0.0591335	-0.0578435	-0.0599371
124	0.0248	-0.0578709	-0.0599644	-0.0592243	-0.0622082	-0.0595965	-0.0591527	-0.0604862	-0.0597423	-0.0599644	-0.0591527	-0.0578849	-0.0599395
125	0.025	-0.0579114	-0.0599658	-0.059232	-0.0621579	-0.0596042	-0.0591707	-0.0604588	-0.0597353	-0.0599658	-0.0591707	-0.0579251	-0.0599419
126	0.0252	-0.0579507	-0.0599671	-0.0592392	-0.0621082	-0.0596117	-0.0591876	-0.0604317	-0.0597282	-0.0599671	-0.0591876	-0.057964	-0.0599442
127	0.0254	-0.0579887	-0.0599684	-0.0592458	-0.0620592	-0.0596191	-0.0592034	-0.0604052	-0.0597208	-0.0599684	-0.0592034	-0.0580017	-0.0599464
128	0.0256	-0.0580256	-0.0599697	-0.0592519	-0.0620107	-0.0596264	-0.0592181	-0.0603791	-0.0597133	-0.0599697	-0.0592181	-0.0580382	-0.0599485
129	0.0258	-0.0580612	-0.0599709	-0.0592575	-0.0619629	-0.0596335	-0.0592318	-0.0603535	-0.0597056	-0.0599709	-0.0592318	-0.0580735	-0.0599505
130	0.026	-0.0580958	-0.059972	-0.0592626	-0.0619158	-0.0596404	-0.0592445	-0.0603284	-0.0596977	-0.059972	-0.0592445	-0.0581077	-0.0599524
131	0.0262	-0.0581291	-0.0599731	-0.0592673	-0.0618694	-0.0596472	-0.0592562	-0.0603038	-0.0596897	-0.0599731	-0.0592562	-0.0581407	-0.0599543
132	0.0264	-0.0581614	-0.0599742	-0.0592715	-0.0618237	-0.0596539	-0.0592669	-0.0602798	-0.0596816	-0.0599742	-0.0592669	-0.0581727	-0.0599561
133	0.0266	-0.0581925	-0.0599752	-0.0592752	-0.0617787	-0.0596604	-0.0592768	-0.0602562	-0.0596733	-0.0599752	-0.0592768	-0.0582035	-0.0599578
134	0.0268	-0.0582226	-0.0599761	-0.0592786	-0.0617344	-0.0596668	-0.0592857	-0.0602331	-0.059665	-0.0599761	-0.0592857	-0.0582333	-0.0599595
135	0.027	-0.0582516	-0.0599771	-0.0592816	-0.0616909	-0.0596731	-0.0592938	-0.0602106	-0.0596565	-0.0599771	-0.0592938	-0.058262	-0.0599611
136	0.0272	-0.0582796	-0.059978	-0.0592843	-0.0616482	-0.0596792	-0.0593011	-0.0601886	-0.059648	-0.059978	-0.0593011	-0.0582897	-0.0599626
137	0.0274	-0.0583066	-0.0599788	-0.0592866	-0.0616063	-0.0596852	-0.0593076	-0.0601671	-0.0596395	-0.0599788	-0.0593076	-0.0583165	-0.0599641
138	0.0276	-0.0583327	-0.0599797	-0.0592886	-0.0615651	-0.059691	-0.0593133	-0.0601462	-0.0596308	-0.0599797	-0.0593133	-0.0583422	-0.0599655
139	0.0278	-0.0583577	-0.0599805	-0.0592902	-0.0615248	-0.0596967	-0.0593183	-0.0601258	-0.0596221	-0.0599805	-0.0593183	-0.058367	-0.0599668
140	0.028	-0.0583818	-0.0599812	-0.0592916	-0.0614854	-0.0597023	-0.0593225	-0.0601059	-0.0596134	-0.0599812	-0.0593225	-0.0583908	-0.0599681
141	0.0282	-0.058405	-0.059982	-0.0592927	-0.0614467	-0.0597078	-0.0593261	-0.0600866	-0.0596047	-0.059982	-0.0593261	-0.0584138	-0.0599694
142	0.0284	-0.0584273	-0.0599827	-0.0592935	-0.0614089	-0.0597131	-0.059329	-0.0600678	-0.0595959	-0.0599827	-0.059329	-0.0584358	-0.0599706
143	0.0286	-0.0584488	-0.0599834	-0.0592941	-0.061372	-0.0597183	-0.0593312	-0.0600495	-0.0595871	-0.0599834	-0.0593312	-0.058457	-0.0599717
144	0.0288	-0.0584694	-0.059984	-0.0592944	-0.0613359	-0.0597234	-0.0593329	-0.0600318	-0.0595784	-0.059984	-0.0593329	-0.0584774	-0.0599728
145	0.029	-0.0584891	-0.0599846	-0.0592945	-0.0613007	-0.0597283	-0.0593339	-0.0600146	-0.0595696	-0.0599846	-0.0593339	-0.0584969	-0.0599739
146	0.0292	-0.0585081	-0.0599852	-0.0592944	-0.0612663	-0.0597332	-0.0593344	-0.0599979	-0.0595608	-0.0599852	-0.0593344	-0.0585156	-0.0599749
147	0.0294	-0.0585263	-0.0599858	-0.0592941	-0.0612328	-0.0597378	-0.0593344	-0.0599817	-0.0595521	-0.0599858	-0.0593344	-0.0585336	-0.0599758
148	0.0296	-0.0585437	-0.0599864	-0.0592936	-0.0612002	-0.0597413	-0.0593338	-0.0599661	-0.0595433	-0.0599864	-0.0593338	-0.0585508	-0.0599756
149	0.0298	-0.0585603	-0.0599869	-0.0592929	-0.0611685	-0.0597437	-0.0593327	-0.059951	-0.0595347	-0.0599869	-0.0593327	-0.0585672	-0.0599745
150	0.03	-0.0585762	-0.0599874	-0.0592921	-0.0611377	-0.0597453	-0.0593312	-0.0599364	-0.0595261	-0.0599874	-0.0593312	-0.058583	-0.0599725
