TimeSlice	Time	L Hip flx Ia	L Hip ext Ia	L Hip ext Ia IN	L Hip flx Ia IN	L Hip flx Ib	L Hip ext Ib	L Hip MN ext	L Hip MN flx	L Hip MN flx R	L Hip MN ext R
155	0.031	-0.0579245	-0.0576708	-0.057601	-0.0572891	-0.0598136	-0.0599023	-0.0833372	-0.0950005	-0.0563974	-0.0554544
156	0.0312	-0.0579213	-0.0576726	-0.0576008	-0.0572863	-0.0598209	-0.0599061	-0.0832691	-0.0950146	-0.0563856	-0.0554271
157	0.0314	-0.0579182	-0.0576745	-0.0576006	-0.0572836	-0.0598279	-0.0599098	-0.0832023	-0.0950285	-0.0563738	-0.0553999
158	0.0316	-0.0579151	-0.0576765	-0.0576004	-0.057281	-0.0598347	-0.0599134	-0.0831365	-0.0950423	-0.0563619	-0.0553727
159	0.0318	-0.0579122	-0.0576786	-0.0576003	-0.0572785	-0.0598412	-0.0599168	-0.0830717	-0.0950561	-0.0563498	-0.0553457
160	0.032	-0.0579095	-0.0576808	-0.0576001	-0.0572758	-0.0598474	-0.05992	-0.0830081	-0.0950698	-0.0563377	-0.0553186
161	0.0322	-0.0579068	-0.0576831	-0.0576	-0.0572731	-0.0598534	-0.0599232	-0.0829454	-0.0950836	-0.0563256	-0.0552917
162	0.0324	-0.0579042	-0.0576854	-0.0575998	-0.0572706	-0.0598591	-0.0599262	-0.0828836	-0.0950973	-0.0563133	-0.0552648
163	0.0326	-0.0579018	-0.0576879	-0.0575997	-0.0572682	-0.0598647	-0.0599291	-0.0828228	-0.0951112	-0.056301	-0.0552381
164	0.0328	-0.0578994	-0.0576904	-0.0575995	-0.0572658	-0.05987	-0.0599318	-0.0827629	-0.095125	-0.0562886	-0.0552114
165	0.033	-0.0578972	-0.057693	-0.0575994	-0.0572633	-0.0598751	-0.0599345	-0.0827038	-0.095139	-0.0562761	-0.0551848
166	0.0332	-0.057895	-0.0576956	-0.0575993	-0.0572608	-0.05988	-0.0599371	-0.0826455	-0.0951531	-0.0562636	-0.0551582
167	0.0334	-0.057893	-0.0576983	-0.0575991	-0.0572584	-0.0598847	-0.0599396	-0.082588	-0.0951673	-0.056251	-0.0551318
168	0.0336	-0.057891	-0.0577011	-0.057599	-0.0572561	-0.0598892	-0.0599419	-0.0825313	-0.0951816	-0.0562384	-0.0551054
169	0.0338	-0.0578892	-0.0577039	-0.0575989	-0.057254	-0.0598935	-0.0599442	-0.0824752	-0.095196	-0.0562257	-0.0550792
170	0.034	-0.0578875	-0.0577068	-0.0575988	-0.0572515	-0.0598977	-0.0599464	-0.0824198	-0.0952105	-0.0562129	-0.055053
171	0.0342	-0.0578858	-0.0577097	-0.0575987	-0.0572492	-0.0599017	-0.0599485	-0.0823649	-0.0952251	-0.0562002	-0.0550269
172	0.0344	-0.0578843	-0.0577126	-0.0575986	-0.057247	-0.0599056	-0.0599505	-0.0823107	-0.0952399	-0.0561873	-0.0550009
173	0.0346	-0.0578829	-0.0577156	-0.0575985	-0.0572448	-0.0599093	-0.0599524	-0.082257	-0.0952548	-0.0561745	-0.0549751
174	0.0348	-0.0578815	-0.0577186	-0.0575984	-0.0572428	-0.0599128	-0.0599543	-0.0822038	-0.0952697	-0.0561615	-0.0549493
175	0.035	-0.0578803	-0.0577216	-0.0575983	-0.0572405	-0.0599162	-0.0599561	-0.0821511	-0.0952848	-0.0561486	-0.0549236
176	0.0352	-0.0578791	-0.0577247	-0.0575982	-0.0572383	-0.0599195	-0.0599578	-0.0820988	-0.0953	-0.0561356	-0.054898
