TimeSlice	Time	L Ank flx Ia	L Ank ext Ia	L Ank flx Ia IN	L Ank ext Ia IN	L Ank ext Ib	L Ank flx Ib	L Ank MN ext	L Ank MN flx	L Ank MN flx RE	L Ank MN ext RE
157	0.0314	-0.0606953	-0.0600827	-0.0599982	-0.0599992	-0.059905	-0.059768	-0.0805221	-0.0967854	-0.0566938	-0.0550865
158	0.0316	-0.0606981	-0.0600814	-0.0599982	-0.0599992	-0.0599088	-0.0597676	-0.0804256	-0.0967852	-0.0566792	-0.0550592
159	0.0318	-0.0607009	-0.0600802	-0.0599982	-0.0599992	-0.0599123	-0.0597673	-0.0803297	-0.0967845	-0.0566646	-0.055032
160	0.032	-0.0607037	-0.0600791	-0.0599982	-0.0599992	-0.0599158	-0.0597668	-0.0802344	-0.0967834	-0.0566499	-0.0550048
161	0.0322	-0.0607065	-0.060078	-0.0599982	-0.0599992	-0.0599191	-0.0597662	-0.0801398	-0.0967819	-0.0566352	-0.0549776
162	0.0324	-0.0607094	-0.060077	-0.0599982	-0.0599992	-0.0599223	-0.0597657	-0.0800457	-0.09678	-0.0566205	-0.0549504
163	0.0326	-0.0607122	-0.060076	-0.0599982	-0.0599992	-0.0599253	-0.0597653	-0.0799523	-0.0967777	-0.0566057	-0.0549233
164	0.0328	-0.0607151	-0.0600751	-0.0599982	-0.0599992	-0.0599282	-0.0597648	-0.0798595	-0.096775	-0.0565908	-0.0548962
165	0.033	-0.060718	-0.0600742	-0.0599982	-0.0599992	-0.059931	-0.0597641	-0.0797673	-0.096772	-0.056576	-0.0548692
166	0.0332	-0.0607208	-0.0600733	-0.0599982	-0.0599992	-0.0599338	-0.0597635	-0.0796757	-0.0967686	-0.0565611	-0.0548422
167	0.0334	-0.0607238	-0.0600725	-0.0599982	-0.0599992	-0.0599363	-0.0597629	-0.0795848	-0.0967648	-0.0565462	-0.0548153
168	0.0336	-0.0607267	-0.0600718	-0.0599982	-0.0599992	-0.0599388	-0.0597623	-0.0794944	-0.0967607	-0.0565313	-0.0547884
169	0.0338	-0.0607296	-0.060071	-0.0599982	-0.0599992	-0.0599412	-0.0597617	-0.0794047	-0.0967563	-0.0565163	-0.0547615
170	0.034	-0.0607325	-0.0600703	-0.0599982	-0.0599992	-0.0599435	-0.0597609	-0.0793156	-0.0967516	-0.0565013	-0.0547348
171	0.0342	-0.0607355	-0.0600697	-0.0599982	-0.0599992	-0.0599458	-0.0597601	-0.0792271	-0.0967466	-0.0564862	-0.0547081
172	0.0344	-0.0607384	-0.0600691	-0.0599982	-0.0599992	-0.0599479	-0.0597594	-0.0791393	-0.0967412	-0.0564712	-0.0546814
173	0.0346	-0.0607414	-0.0600685	-0.0599982	-0.0599992	-0.0599499	-0.0597587	-0.079052	-0.0967356	-0.0564561	-0.0546548
174	0.0348	-0.0607444	-0.060068	-0.0599982	-0.0599992	-0.0599519	-0.059758	-0.0789654	-0.0967297	-0.056441	-0.0546283
175	0.035	-0.0607474	-0.0600675	-0.0599982	-0.0599992	-0.0599538	-0.0597571	-0.0788793	-0.0967235	-0.0564259	-0.0546018
176	0.0352	-0.0607504	-0.0600671	-0.0599982	-0.0599992	-0.0599556	-0.0597562	-0.0787939	-0.0967171	-0.0564107	-0.0545755
