TimeSlice	Time	R Hip ext Ia	R Hip flx Ia	R Hip ext Ia IN	R Hip flx Ia IN	R Hip flx Ib	R Hip ext Ib	R Hip MN flx	R Hip MN ext	R Hip MN ext RE	R Hip MN flx RE
133	0.0266	-0.057579	-0.0575392	-0.0569794	-0.0569794	-0.0563991	-0.058613	-0.07872	-0.0952947	-0.0570272	-0.0553309
134	0.0268	-0.0575739	-0.0575279	-0.0569725	-0.0569725	-0.0564342	-0.0586216	-0.078677	-0.0953139	-0.0570144	-0.0553072
135	0.027	-0.0575688	-0.0575168	-0.056965	-0.056965	-0.0564717	-0.0586327	-0.0786336	-0.0953313	-0.0570015	-0.0552834
136	0.0272	-0.0575638	-0.0575057	-0.0569577	-0.0569577	-0.0565076	-0.0586434	-0.0785902	-0.0953472	-0.0569885	-0.0552596
137	0.0274	-0.057559	-0.0574948	-0.0569507	-0.0569507	-0.0565422	-0.0586536	-0.0785467	-0.0953618	-0.0569754	-0.0552359
138	0.0276	-0.0575542	-0.057484	-0.056944	-0.056944	-0.0565754	-0.0586634	-0.0785031	-0.0953755	-0.0569621	-0.0552121
139	0.0278	-0.0575495	-0.0574733	-0.0569376	-0.0569376	-0.0566073	-0.0586728	-0.0784592	-0.0953887	-0.0569488	-0.0551884
140	0.028	-0.057545	-0.0574627	-0.0569305	-0.0569305	-0.0566409	-0.0586848	-0.0784149	-0.0954015	-0.0569353	-0.0551647
141	0.0282	-0.0575406	-0.0574523	-0.0569237	-0.0569237	-0.0566731	-0.0586964	-0.0783706	-0.0954146	-0.0569217	-0.0551411
142	0.0284	-0.0575363	-0.057442	-0.0569171	-0.0569171	-0.0567041	-0.0587074	-0.0783261	-0.095428	-0.056908	-0.0551174
143	0.0286	-0.0575322	-0.0574318	-0.0569108	-0.0569108	-0.0567339	-0.0587181	-0.0782815	-0.0954421	-0.0568943	-0.0550938
144	0.0288	-0.0575282	-0.0574217	-0.0569047	-0.0569047	-0.0567625	-0.0587283	-0.0782365	-0.095457	-0.0568804	-0.0550702
145	0.029	-0.0575245	-0.0574118	-0.0568981	-0.0568981	-0.0567922	-0.0587411	-0.0781912	-0.0954729	-0.0568665	-0.0550466
146	0.0292	-0.0575209	-0.057402	-0.0568917	-0.0568917	-0.0568207	-0.0587534	-0.0781458	-0.0954901	-0.0568525	-0.0550231
147	0.0294	-0.0575174	-0.0573923	-0.0568855	-0.0568855	-0.0568481	-0.0587652	-0.0781001	-0.0955089	-0.0568385	-0.0549996
148	0.0296	-0.0575142	-0.0573828	-0.0568796	-0.0568796	-0.0568744	-0.0587766	-0.0780542	-0.0955291	-0.0568243	-0.0549761
149	0.0298	-0.0575111	-0.0573734	-0.0568739	-0.0568739	-0.0568997	-0.0587875	-0.078008	-0.0955497	-0.0568102	-0.0549527
150	0.03	-0.0575081	-0.0573641	-0.0568677	-0.0568677	-0.0569256	-0.058801	-0.0779613	-0.09557	-0.056796	-0.0549292
151	0.0302	-0.0575052	-0.0573549	-0.0568617	-0.0568617	-0.0569504	-0.058814	-0.0779144	-0.0955903	-0.0567818	-0.0549059
152	0.0304	-0.0575024	-0.0573459	-0.0568559	-0.0568559	-0.0569743	-0.0588264	-0.0778673	-0.0956107	-0.0567675	-0.0548825
153	0.0306	-0.0574997	-0.057337	-0.0568504	-0.0568504	-0.0569972	-0.0588384	-0.0778198	-0.0956309	-0.0567532	-0.0548592
154	0.0308	-0.0574971	-0.0573282	-0.0568451	-0.0568451	-0.0570192	-0.0588499	-0.0777719	-0.0956511	-0.0567389	-0.0548359
155	0.031	-0.0574947	-0.0573196	-0.0568393	-0.0568393	-0.0570413	-0.0588639	-0.0777236	-0.0956711	-0.0567246	-0.0548126
156	0.0312	-0.0574923	-0.0573111	-0.0568337	-0.0568337	-0.0570625	-0.0588773	-0.077675	-0.0956911	-0.0567102	-0.0547894
157	0.0314	-0.05749	-0.0573027	-0.0568283	-0.0568283	-0.0570829	-0.0588903	-0.0776261	-0.0957112	-0.0566958	-0.0547662
158	0.0316	-0.0574878	-0.0572944	-0.0568231	-0.0568231	-0.0571025	-0.0589027	-0.0775768	-0.0957313	-0.0566814	-0.054743
159	0.0318	-0.0574857	-0.0572863	-0.0568181	-0.0568181	-0.0571213	-0.0589147	-0.0775272	-0.0957513	-0.0566669	-0.0547199
160	0.032	-0.0574837	-0.0572783	-0.0568127	-0.0568127	-0.0571397	-0.0589291	-0.0774771	-0.0957712	-0.0566525	-0.0546968
