TimeSlice	Time	L Hip MN ext	L Hip MN flx	L Hip PF flx	L Hip PF ext	L RG ext	L RG flx
2727	0.5454	-0.0520927	-0.0937814	-0.0603589	-0.0575838	-0.0577126	-0.0624026
2728	0.5456	-0.0521015	-0.0937803	-0.0603576	-0.0575846	-0.0577127	-0.0623991
2729	0.5458	-0.0521102	-0.0937793	-0.0603563	-0.0575854	-0.0577128	-0.0623956
2730	0.546	-0.0521189	-0.0937782	-0.060355	-0.0575862	-0.0577129	-0.0623921
2731	0.5462	-0.0521276	-0.0937772	-0.0603537	-0.057587	-0.057713	-0.0623886
2732	0.5464	-0.0521363	-0.0937762	-0.0603524	-0.0575878	-0.0577131	-0.062385
2733	0.5466	-0.0521449	-0.0937751	-0.0603512	-0.0575886	-0.0577132	-0.0623814
2734	0.5468	-0.0521535	-0.0937741	-0.0603499	-0.0575894	-0.0577132	-0.0623778
2735	0.547	-0.052162	-0.0937731	-0.0603486	-0.0575902	-0.0577133	-0.0623742
2736	0.5472	-0.0521705	-0.093772	-0.0603474	-0.0575909	-0.0577134	-0.0623705
2737	0.5474	-0.052179	-0.093771	-0.0603461	-0.0575917	-0.0577135	-0.0623668
2738	0.5476	-0.0521874	-0.09377	-0.0603448	-0.0575925	-0.0577136	-0.0623631
2739	0.5478	-0.0521958	-0.093769	-0.0603436	-0.0575933	-0.0577136	-0.0623594
2740	0.548	-0.0522041	-0.093768	-0.0603423	-0.0575941	-0.0577137	-0.0623556
2741	0.5482	-0.0522124	-0.093767	-0.0603411	-0.0575948	-0.0577138	-0.0623518
2742	0.5484	-0.0522206	-0.093766	-0.0603398	-0.0575956	-0.0577138	-0.062348
2743	0.5486	-0.0522287	-0.0937651	-0.0603386	-0.0575964	-0.0577139	-0.0623442
2744	0.5488	-0.0522368	-0.0937641	-0.0603374	-0.0575971	-0.057714	-0.0623403
2745	0.549	-0.0522449	-0.0937631	-0.0603361	-0.0575979	-0.057714	-0.0623364
2746	0.5492	-0.0522529	-0.0937622	-0.0603349	-0.0575987	-0.0577141	-0.0623325
2747	0.5494	-0.0522608	-0.0937612	-0.0603337	-0.0575994	-0.0577141	-0.0623285
2748	0.5496	-0.0522687	-0.0937602	-0.0603325	-0.0576002	-0.0577142	-0.0623246
2749	0.5498	-0.0522765	-0.0937593	-0.0603313	-0.0576009	-0.0577142	-0.0623206
2750	0.55	-0.0522842	-0.0937584	-0.06033	-0.0576017	-0.0577143	-0.0623165
2751	0.5502	-0.0522919	-0.0937574	-0.0603288	-0.0576024	-0.0577143	-0.0623125
2752	0.5504	-0.0522995	-0.0937565	-0.0603276	-0.0576032	-0.0577144	-0.0623084
2753	0.5506	-0.052307	-0.0937556	-0.0603264	-0.0576039	-0.0577144	-0.0623043
2754	0.5508	-0.0523145	-0.0937546	-0.0603252	-0.0576047	-0.0577144	-0.0623002
2755	0.551	-0.052322	-0.0937537	-0.060324	-0.0576054	-0.0577145	-0.062296
2756	0.5512	-0.0523293	-0.0937528	-0.0603229	-0.0576061	-0.0577145	-0.0622918
2757	0.5514	-0.0523366	-0.0937519	-0.0603217	-0.0576069	-0.0577145	-0.0622876
2758	0.5516	-0.0523439	-0.0937511	-0.0603205	-0.0576076	-0.0577145	-0.0622834
2759	0.5518	-0.052351	-0.0937502	-0.0603193	-0.0576083	-0.0577146	-0.0622791
2760	0.552	-0.0523582	-0.0937493	-0.0603181	-0.0576091	-0.0577146	-0.0622748
2761	0.5522	-0.0523652	-0.0937484	-0.060317	-0.0576098	-0.0577146	-0.0622705
2762	0.5524	-0.0523722	-0.0937476	-0.0603158	-0.0576105	-0.0577146	-0.0622661
2763	0.5526	-0.0523791	-0.0937467	-0.0603146	-0.0576112	-0.0577146	-0.0622617
2764	0.5528	-0.052386	-0.0937458	-0.0603135	-0.0576119	-0.0577146	-0.0622573
2765	0.553	-0.0523928	-0.093745	-0.0603123	-0.0576127	-0.0577146	-0.0622529
2766	0.5532	-0.0523995	-0.0937442	-0.0603112	-0.0576134	-0.0577146	-0.0622484
2767	0.5534	-0.0524062	-0.0937433	-0.06031	-0.0576141	-0.0577146	-0.0622439
2768	0.5536	-0.0524128	-0.0937425	-0.0603089	-0.0576148	-0.0577146	-0.0622394
2769	0.5538	-0.0524194	-0.0937417	-0.0603077	-0.0576155	-0.0577146	-0.0622348
2770	0.554	-0.0524259	-0.0937409	-0.0603066	-0.0576162	-0.0577146	-0.0622302
2771	0.5542	-0.0524324	-0.0937401	-0.0603055	-0.0576169	-0.0577146	-0.0622256
2772	0.5544	-0.0524388	-0.0937393	-0.0603043	-0.0576176	-0.0577146	-0.062221
2773	0.5546	-0.0524451	-0.0937385	-0.0603032	-0.0576183	-0.0577146	-0.0622163
2774	0.5548	-0.0524514	-0.0937377	-0.0603021	-0.057619	-0.0577145	-0.0622116
2775	0.555	-0.0524576	-0.0937369	-0.060301	-0.0576197	-0.0577145	-0.0622068
2776	0.5552	-0.0524638	-0.0937361	-0.0602999	-0.0576204	-0.0577145	-0.0622021
2777	0.5554	-0.0524699	-0.0937354	-0.0602987	-0.0576211	-0.0577144	-0.0621973
