TimeSlice	Time	L Knee PF flx IN	L Knee PF ext IN	L Knee PF flx	L Knee PF ext
12605	2.521	-0.0559006	-0.06	-0.0568799	-0.0614749
12606	2.5212	-0.0559085	-0.06	-0.0568868	-0.0614687
12607	2.5214	-0.0559164	-0.06	-0.0568937	-0.0614625
12608	2.5216	-0.0559242	-0.06	-0.0569005	-0.0614564
12609	2.5218	-0.055932	-0.06	-0.0569073	-0.0614502
12610	2.522	-0.0559397	-0.06	-0.056914	-0.0614441
12611	2.5222	-0.0559474	-0.06	-0.0569207	-0.0614379
12612	2.5224	-0.055955	-0.06	-0.0569273	-0.0614318
12613	2.5226	-0.0559626	-0.06	-0.0569338	-0.0614257
12614	2.5228	-0.0559702	-0.06	-0.0569403	-0.0614197
12615	2.523	-0.0559776	-0.06	-0.0569468	-0.0614136
12616	2.5232	-0.0559851	-0.06	-0.0569532	-0.0614075
12617	2.5234	-0.0559925	-0.06	-0.0569595	-0.0614015
12618	2.5236	-0.0559998	-0.06	-0.0569658	-0.0613955
12619	2.5238	-0.0560071	-0.06	-0.056972	-0.0613895
12620	2.524	-0.0560144	-0.06	-0.0569782	-0.0613835
12621	2.5242	-0.0560216	-0.06	-0.0569843	-0.0613775
12622	2.5244	-0.0560288	-0.06	-0.0569904	-0.0613716
12623	2.5246	-0.0560359	-0.06	-0.0569964	-0.0613657
12624	2.5248	-0.056043	-0.06	-0.0570024	-0.0613597
12625	2.525	-0.05605	-0.06	-0.0570084	-0.0613538
12626	2.5252	-0.056057	-0.06	-0.0570142	-0.061348
12627	2.5254	-0.0560639	-0.06	-0.0570201	-0.0613421
12628	2.5256	-0.0560708	-0.06	-0.0570258	-0.0613363
12629	2.5258	-0.0560776	-0.06	-0.0570316	-0.0613304
12630	2.526	-0.0560844	-0.06	-0.0570372	-0.0613246
12631	2.5262	-0.0560911	-0.06	-0.0570429	-0.0613189
12632	2.5264	-0.0560978	-0.06	-0.0570485	-0.0613131
12633	2.5266	-0.0561045	-0.06	-0.057054	-0.0613074
12634	2.5268	-0.0561111	-0.06	-0.0570595	-0.0613016
12635	2.527	-0.0561176	-0.06	-0.0570649	-0.0612959
12636	2.5272	-0.0561241	-0.06	-0.0570703	-0.0612902
12637	2.5274	-0.0561306	-0.06	-0.0570757	-0.0612846
12638	2.5276	-0.056137	-0.06	-0.057081	-0.0612789
12639	2.5278	-0.0561434	-0.06	-0.0570863	-0.0612733
12640	2.528	-0.0561497	-0.06	-0.0570915	-0.0612677
12641	2.5282	-0.056156	-0.06	-0.0570966	-0.0612622
12642	2.5284	-0.0561622	-0.06	-0.0571018	-0.0612566
12643	2.5286	-0.0561684	-0.06	-0.0571069	-0.0612511
12644	2.5288	-0.0561746	-0.06	-0.0571119	-0.0612456
12645	2.529	-0.0561807	-0.06	-0.0571169	-0.0612401
12646	2.5292	-0.0561868	-0.06	-0.0571219	-0.0612346
12647	2.5294	-0.0561928	-0.06	-0.0571268	-0.0612292
12648	2.5296	-0.0561987	-0.06	-0.0571316	-0.0612238
12649	2.5298	-0.0562047	-0.06	-0.0571365	-0.0612184
12650	2.53	-0.0562106	-0.06	-0.0571413	-0.061213
12651	2.5302	-0.0562164	-0.06	-0.057146	-0.0612076
12652	2.5304	-0.0562222	-0.06	-0.0571507	-0.0612023
12653	2.5306	-0.0562279	-0.06	-0.0571554	-0.061197
12654	2.5308	-0.0562337	-0.06	-0.05716	-0.0611917
12655	2.531	-0.0562393	-0.06	-0.0571646	-0.0611865
12656	2.5312	-0.056245	-0.06	-0.0571692	-0.0611812
12657	2.5314	-0.0562505	-0.06	-0.0571737	-0.061176
12658	2.5316	-0.0562561	-0.06	-0.0571781	-0.0611708
12659	2.5318	-0.0562616	-0.06	-0.0571826	-0.0611657
12660	2.532	-0.0562671	-0.06	-0.057187	-0.0611605
12661	2.5322	-0.0562725	-0.06	-0.0571913	-0.0611554
