TimeSlice	Time	L Hip PF ext IN	L Hip PF flx IN	L Hip PF ext	L Hip PF flx
315	0.063	-0.0590491	-0.0599541	-0.0593025	-0.0599838
316	0.0632	-0.0590455	-0.0599549	-0.0593	-0.0599843
317	0.0634	-0.0590419	-0.0599557	-0.0592975	-0.0599848
318	0.0636	-0.0590382	-0.0599565	-0.059295	-0.0599853
319	0.0638	-0.0590346	-0.0599573	-0.0592925	-0.0599858
320	0.064	-0.059031	-0.0599581	-0.0592901	-0.0599863
321	0.0642	-0.0590274	-0.0599589	-0.0592876	-0.0599868
322	0.0644	-0.0590238	-0.0599597	-0.0592852	-0.0599873
323	0.0646	-0.0590202	-0.0599605	-0.0592827	-0.0599878
324	0.0648	-0.0590166	-0.0599613	-0.0592803	-0.0599883
325	0.065	-0.059013	-0.0599621	-0.0592779	-0.0599888
326	0.0652	-0.0590094	-0.0599629	-0.0592754	-0.0599892
327	0.0654	-0.0590058	-0.0599637	-0.059273	-0.0599897
328	0.0656	-0.0590023	-0.0599645	-0.0592706	-0.0599902
329	0.0658	-0.0589987	-0.0599653	-0.0592682	-0.0599907
330	0.066	-0.0589952	-0.059966	-0.0592658	-0.0599912
331	0.0662	-0.0589916	-0.0599668	-0.0592635	-0.0599917
332	0.0664	-0.0589881	-0.0599676	-0.0592611	-0.0599921
333	0.0666	-0.0589846	-0.0599684	-0.0592587	-0.0599926
334	0.0668	-0.058981	-0.0599692	-0.0592564	-0.0599931
335	0.067	-0.0589775	-0.05997	-0.0592541	-0.0599936
336	0.0672	-0.058974	-0.0599708	-0.0592517	-0.059994
337	0.0674	-0.0589705	-0.0599715	-0.0592494	-0.0599945
338	0.0676	-0.0589671	-0.0599723	-0.0592471	-0.059995
339	0.0678	-0.0589636	-0.0599731	-0.0592448	-0.0599955
340	0.068	-0.0589601	-0.0599739	-0.0592425	-0.0599959
341	0.0682	-0.0589567	-0.0599746	-0.0592402	-0.0599964
342	0.0684	-0.0589532	-0.0599754	-0.0592379	-0.0599969
343	0.0686	-0.0589498	-0.0599762	-0.0592357	-0.0599973
344	0.0688	-0.0589464	-0.059977	-0.0592334	-0.0599978
345	0.069	-0.058943	-0.0599777	-0.0592312	-0.0599983
346	0.0692	-0.0589396	-0.0599785	-0.0592289	-0.0599987
347	0.0694	-0.0589362	-0.0599793	-0.0592267	-0.0599992
348	0.0696	-0.0589328	-0.05998	-0.0592245	-0.0599997
349	0.0698	-0.0589294	-0.0599808	-0.0592223	-0.0600001
350	0.07	-0.058926	-0.0599815	-0.05922	-0.0600006
351	0.0702	-0.0589227	-0.0599823	-0.0592179	-0.060001
352	0.0704	-0.0589194	-0.059983	-0.0592157	-0.0600015
353	0.0706	-0.058916	-0.0599836	-0.0592135	-0.0600019
354	0.0708	-0.0589127	-0.0599843	-0.0592113	-0.0600023
355	0.071	-0.0589094	-0.0599849	-0.0592092	-0.0600028
356	0.0712	-0.0589061	-0.0599855	-0.059207	-0.0600032
357	0.0714	-0.0589029	-0.059986	-0.0592049	-0.0600037
358	0.0716	-0.0588996	-0.0599866	-0.0592028	-0.0600041
359	0.0718	-0.0588964	-0.0599871	-0.0592007	-0.0600045
360	0.072	-0.0588931	-0.0599876	-0.0591986	-0.0600049
361	0.0722	-0.0588899	-0.0599881	-0.0591966	-0.0600053
362	0.0724	-0.0588867	-0.0599886	-0.0591945	-0.0600057
363	0.0726	-0.0588835	-0.059989	-0.0591925	-0.0600062
364	0.0728	-0.0588803	-0.0599895	-0.0591904	-0.0600066
365	0.073	-0.0588771	-0.0599899	-0.0591884	-0.060007
366	0.0732	-0.058874	-0.0599903	-0.0591864	-0.0600073
367	0.0734	-0.0588709	-0.0599906	-0.0591845	-0.0600077
368	0.0736	-0.0588677	-0.059991	-0.0591825	-0.0600081
369	0.0738	-0.0588646	-0.0599914	-0.0591806	-0.0600085
370	0.074	-0.0588616	-0.0599917	-0.0591786	-0.0600088
371	0.0742	-0.0588585	-0.059992	-0.0591767	-0.0600092
372	0.0744	-0.0588554	-0.0599923	-0.0591748	-0.0600095
373	0.0746	-0.0588524	-0.0599926	-0.0591729	-0.0600099
374	0.0748	-0.0588494	-0.0599929	-0.0591711	-0.0600102
375	0.075	-0.0588464	-0.0599932	-0.0591692	-0.0600106
376	0.0752	-0.0588434	-0.0599935	-0.0591674	-0.0600109
377	0.0754	-0.0588404	-0.0599937	-0.0591656	-0.0600112
378	0.0756	-0.0588375	-0.059994	-0.0591637	-0.0600115
379	0.0758	-0.0588346	-0.0599942	-0.059162	-0.0600118
380	0.076	-0.0588317	-0.0599944	-0.0591602	-0.0600121
381	0.0762	-0.0588288	-0.0599947	-0.0591584	-0.0600123
382	0.0764	-0.0588259	-0.0599949	-0.0591567	-0.0600126
383	0.0766	-0.058823	-0.0599951	-0.059155	-0.0600129
384	0.0768	-0.0588202	-0.0599953	-0.0591532	-0.0600131
385	0.077	-0.0588174	-0.0599954	-0.0591515	-0.0600134
386	0.0772	-0.0588146	-0.0599956	-0.0591499	-0.0600136
387	0.0774	-0.0588118	-0.0599958	-0.0591482	-0.0600138
388	0.0776	-0.0588091	-0.059996	-0.0591465	-0.060014
389	0.0778	-0.0588063	-0.0599961	-0.0591449	-0.0600142
390	0.078	-0.0588036	-0.0599963	-0.0591433	-0.0600144
391	0.0782	-0.0588009	-0.0599964	-0.0591416	-0.0600145
392	0.0784	-0.0587982	-0.0599966	-0.05914	-0.0600147
393	0.0786	-0.0587956	-0.0599967	-0.0591385	-0.0600149
394	0.0788	-0.0587929	-0.0599968	-0.0591369	-0.060015
395	0.079	-0.0587903	-0.0599969	-0.0591353	-0.0600151
396	0.0792	-0.0587877	-0.0599971	-0.0591338	-0.0600152
397	0.0794	-0.0587851	-0.0599972	-0.0591322	-0.0600153
398	0.0796	-0.0587826	-0.0599973	-0.0591307	-0.0600154
399	0.0798	-0.05878	-0.0599974	-0.0591292	-0.0600155
